country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,oil_prod,uranium,reactor
Bayu,Kazeng,,20k active personnel,3 ships,Korean War surplus,Isolated,3 factories,Elite,last online 3 hours ago,rankings.php?subregion=ind,,17 Hundred Tons per month,$2859 million,,East Indies,,Mediocre,http://blocgame.com/rankings.php?subregion=ind,15096 km 2,http://blocgame.com/stats.php?id=60447,305 Mbbl,16 Mbbl per month,,
Merchandise,HappyMerchant,http://blocgame.com/alliancestats.php?allianceid=1966,93k active personnel,0 ships,Korean War surplus,Gandhi-like,6 factories,Good,online now,rankings.php?subregion=mes,Lithuanian Coalition,32 Hundred Tons per month,$2815 million,alliancestats.php?allianceid=1966,Mesopotamia,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=mes,31850 km 2,http://blocgame.com/stats.php?id=61572,,28 Mbbl per month,,
Junta,Torralva,http://blocgame.com/alliancestats.php?allianceid=1595,34k active personnel,0 ships,Second World War surplus,Angelic,1 factory,Elite,last online 10 hours ago,rankings.php?subregion=chi,The High Council,5 Hundred Tons per month,$2800 million,alliancestats.php?allianceid=1595,China,Untapped,Small,http://blocgame.com/rankings.php?subregion=chi,14078 km 2,http://blocgame.com/stats.php?id=61430,105 Mbbl,4 Mbbl per month,1 Tons,
Kazushima,Kazuya,http://blocgame.com/alliancestats.php?allianceid=1952,14k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 20 hours ago,rankings.php?subregion=chi,The Eastern Sea,5 Hundred Tons per month,$2799 million,alliancestats.php?allianceid=1952,China,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=chi,19602 km 2,http://blocgame.com/stats.php?id=61346,,7 Mbbl per month,,
admiral haz,admiral haz,http://blocgame.com/alliancestats.php?allianceid=1899,9k active personnel,1 ships,Korean War surplus,Normal,3 factories,Elite,last online 3 hours ago,rankings.php?subregion=ind,Aseang MMP,18 Hundred Tons per month,$2787 million,alliancestats.php?allianceid=1899,East Indies,Near Depletion,None,http://blocgame.com/rankings.php?subregion=ind,12514 km 2,http://blocgame.com/stats.php?id=60473,,15 Mbbl per month,,
Nusa Zenith,Zentarou,http://blocgame.com/alliancestats.php?allianceid=1595,71k active personnel,4 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 5 hours ago,rankings.php?subregion=ind,The High Council,9 Hundred Tons per month,$2778 million,alliancestats.php?allianceid=1595,East Indies,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60658,494 Mbbl,7 Mbbl per month,,5%
Volne Vilki,Vilk,http://blocgame.com/alliancestats.php?allianceid=1966,36k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 24 hours ago,rankings.php?subregion=atl,Lithuanian Coalition,24 Hundred Tons per month,$2763 million,alliancestats.php?allianceid=1966,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,27375 km 2,http://blocgame.com/stats.php?id=61625,6256 Mbbl,22 Mbbl per month,,
XDXDXD,MalaysianMaster,http://blocgame.com/alliancestats.php?allianceid=1568,9k active personnel,0 ships,Second World War surplus,Normal,3 factories,Good,online now,rankings.php?subregion=mes,Brotherhood of Zion,17 Hundred Tons per month,$2749 million,alliancestats.php?allianceid=1568,Mesopotamia,Near Depletion,None,http://blocgame.com/rankings.php?subregion=mes,25715 km 2,http://blocgame.com/stats.php?id=61521,13250 Mbbl,20 Mbbl per month,,
Yazu,Goobi,http://blocgame.com/alliancestats.php?allianceid=1568,364k active personnel,27 ships,Advanced,Gandhi-like,8 factories,Poor,last online 49 hours ago,rankings.php?subregion=ara,Brotherhood of Zion,10 Hundred Tons per month,$2746 million,alliancestats.php?allianceid=1568,Arabia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ara,101570 km 2,http://blocgame.com/stats.php?id=46519,7230 Mbbl,30 Mbbl per month,,
Thair,Tacoonastick,http://blocgame.com/alliancestats.php?allianceid=1932,20k active personnel,0 ships,Second World War surplus,Good,1 factory,Elite,last online 17 hours ago,rankings.php?subregion=congo,African Socialism,10 Hundred Tons per month,$2745 million,alliancestats.php?allianceid=1932,Congo,,Mediocre,http://blocgame.com/rankings.php?subregion=congo,11545 km 2,http://blocgame.com/stats.php?id=60955,119 Mbbl,7 Mbbl per month,,
Catarax,Xarax93,http://blocgame.com/alliancestats.php?allianceid=1923,4k active personnel,0 ships,First World War surplus,Questionable,1 factory,Elite,last online 5 hours ago,rankings.php?subregion=ind,Walawalawala,3 Hundred Tons per month,$2732 million,alliancestats.php?allianceid=1923,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,14711 km 2,http://blocgame.com/stats.php?id=60761,,8 Mbbl per month,,
Kowno,Wilikajło,http://blocgame.com/alliancestats.php?allianceid=1966,28k active personnel,1 ships,Second World War surplus,Isolated,2 factories,Elite,last online 21 hours ago,rankings.php?subregion=saf,Lithuanian Coalition,26 Hundred Tons per month,$2722 million,alliancestats.php?allianceid=1966,Southern Africa,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=saf,27026 km 2,http://blocgame.com/stats.php?id=61635,,11 Mbbl per month,,
Pasir Dengung,Menteri Fasola,http://blocgame.com/alliancestats.php?allianceid=1899,108k active personnel,4 ships,Korean War surplus,Gandhi-like,5 factories,Standard,last online 2 hours ago,rankings.php?subregion=ind,Aseang MMP,11 Hundred Tons per month,$2697 million,alliancestats.php?allianceid=1899,East Indies,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,21776 km 2,http://blocgame.com/stats.php?id=60712,,11 Mbbl per month,,
Durian Pancake,rikkie_chong,http://blocgame.com/alliancestats.php?allianceid=1393,93k active personnel,3 ships,First World War surplus,Normal,3 factories,Elite,online now,rankings.php?subregion=chi,BAMF,15 Hundred Tons per month,$2678 million,alliancestats.php?allianceid=1393,China,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=chi,20068 km 2,http://blocgame.com/stats.php?id=61799,,13 Mbbl per month,,
Dundorf,Max Riggs,http://blocgame.com/alliancestats.php?allianceid=1418,4k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 89 hours ago,rankings.php?subregion=chi,Asian Alliance,2 Hundred Tons per month,$2630 million,alliancestats.php?allianceid=1418,China,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=chi,18830 km 2,http://blocgame.com/stats.php?id=61192,,2 Mbbl per month,,
Jemuan Setan,Mappo,http://blocgame.com/alliancestats.php?allianceid=1595,39k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,rankings.php?subregion=ind,The High Council,15 Hundred Tons per month,$2624 million,alliancestats.php?allianceid=1595,East Indies,Near Depletion,Powerful,http://blocgame.com/rankings.php?subregion=ind,13083 km 2,http://blocgame.com/stats.php?id=61058,,7 Mbbl per month,,
Inferia,Alexkovisk,http://blocgame.com/alliancestats.php?allianceid=1932,4k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 9 hours ago,rankings.php?subregion=egy,African Socialism,8 Hundred Tons per month,$2601 million,alliancestats.php?allianceid=1932,Egypt,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=egy,9805 km 2,http://blocgame.com/stats.php?id=60789,,14 Mbbl per month,,
Falusia,McAwesome,http://blocgame.com/alliancestats.php?allianceid=1595,29k active personnel,6 ships,Second World War surplus,Axis of Evil,3 factories,Good,online now,rankings.php?subregion=pac,The High Council,12 Hundred Tons per month,$2591 million,alliancestats.php?allianceid=1595,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,18816 km 2,http://blocgame.com/stats.php?id=61365,,6 Mbbl per month,,
Holy Mountain,Archbishop de Lusignan,http://blocgame.com/alliancestats.php?allianceid=1933,9k active personnel,1 ships,Korean War surplus,Good,2 factories,Good,last online 91 hours ago,rankings.php?subregion=mes,democracy,4 Hundred Tons per month,$2581 million,alliancestats.php?allianceid=1933,Mesopotamia,,Somewhat Large,http://blocgame.com/rankings.php?subregion=mes,3714 km 2,http://blocgame.com/stats.php?id=58666,,4 Mbbl per month,,
Chinvanie,Lau Wang Chun,http://blocgame.com/alliancestats.php?allianceid=1952,4k active personnel,0 ships,Second World War surplus,Normal,1 factory,Undisciplined Rabble,last online 174 hours ago,rankings.php?subregion=sea,The Eastern Sea,5 Hundred Tons per month,$2575 million,alliancestats.php?allianceid=1952,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,3545 km 2,http://blocgame.com/stats.php?id=60732,61 Mbbl,3 Mbbl per month,,
Petai Belalang,zulhasr39689,http://blocgame.com/alliancestats.php?allianceid=1899,168k active personnel,13 ships,First World War surplus,Normal,5 factories,Good,last online 1 hours ago,rankings.php?subregion=ind,Aseang MMP,39 Hundred Tons per month,$2567 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Large,http://blocgame.com/rankings.php?subregion=ind,31163 km 2,http://blocgame.com/stats.php?id=60767,,16 Mbbl per month,,
ZumbaZumbi,PakuPakis,,85k active personnel,2 ships,First World War surplus,Questionable,4 factories,Standard,last online 13 hours ago,rankings.php?subregion=saf,,17 Hundred Tons per month,$2566 million,,Southern Africa,Near Depletion,Powerful,http://blocgame.com/rankings.php?subregion=saf,26852 km 2,http://blocgame.com/stats.php?id=61482,347 Mbbl,20 Mbbl per month,,
Jemut,iwaniman/Ferozz,http://blocgame.com/alliancestats.php?allianceid=1899,95k active personnel,5 ships,Second World War surplus,Angelic,4 factories,Elite,last online 5 hours ago,rankings.php?subregion=ind,Aseang MMP,12 Hundred Tons per month,$2547 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Large,http://blocgame.com/rankings.php?subregion=ind,27406 km 2,http://blocgame.com/stats.php?id=61811,,14 Mbbl per month,,
Esmair,muffjin,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,34 ships,Persian Gulf War surplus,Gandhi-like,4 factories,Elite,last online 10 hours ago,rankings.php?subregion=sea,BAMF,23 Hundred Tons per month,$2533 million,alliancestats.php?allianceid=1393,Indochina,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,34026 km 2,http://blocgame.com/stats.php?id=40882,,4 Mbbl per month,,
Alaminnullah,Mubarakamin,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,1 factory,Good,last online 9 hours ago,rankings.php?subregion=eaf,,16 Hundred Tons per month,$2529 million,,East Africa,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=eaf,20000 km 2,http://blocgame.com/stats.php?id=61193,289 Mbbl,3 Mbbl per month,,
hiddenvillage,uzumaki975,http://blocgame.com/alliancestats.php?allianceid=1595,6k active personnel,0 ships,First World War surplus,Normal,4 factories,Standard,last online 1 hours ago,rankings.php?subregion=sub,The High Council,14 Hundred Tons per month,$2526 million,alliancestats.php?allianceid=1595,The Subcontinent,Near Depletion,Meagre,http://blocgame.com/rankings.php?subregion=sub,23441 km 2,http://blocgame.com/stats.php?id=61796,296 Mbbl,11 Mbbl per month,,
nanas,nanas batu,http://blocgame.com/alliancestats.php?allianceid=1595,43k active personnel,3 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,rankings.php?subregion=ind,The High Council,17 Hundred Tons per month,$2523 million,alliancestats.php?allianceid=1595,East Indies,Depleted,Large,http://blocgame.com/rankings.php?subregion=ind,22301 km 2,http://blocgame.com/stats.php?id=61809,,10 Mbbl per month,,
axmbest,amsyah80,http://blocgame.com/alliancestats.php?allianceid=1595,11k active personnel,1 ships,First World War surplus,Gandhi-like,3 factories,Standard,last online 57 hours ago,rankings.php?subregion=pac,The High Council,16 Hundred Tons per month,$2520 million,alliancestats.php?allianceid=1595,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,16500 km 2,http://blocgame.com/stats.php?id=61772,423 Mbbl,11 Mbbl per month,,
U.S.S.M.,Kalkavan,,26k active personnel,2 ships,Second World War surplus,Questionable,3 factories,Elite,last online 52 hours ago,rankings.php?subregion=mes,,4 Hundred Tons per month,$2486 million,,Mesopotamia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mes,5413 km 2,http://blocgame.com/stats.php?id=61017,1068 Mbbl,4 Mbbl per month,,
Fastistan 2.0,St. Sanic,http://blocgame.com/alliancestats.php?allianceid=1568,242k active personnel,5 ships,Almost Modern,Gandhi-like,6 factories,Elite,online now,rankings.php?subregion=gui,Brotherhood of Zion,43 Hundred Tons per month,$2479 million,alliancestats.php?allianceid=1568,Guinea,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=gui,57407 km 2,http://blocgame.com/stats.php?id=59029,5981 Mbbl,11 Mbbl per month,,
crocodile,Quadkencheng,http://blocgame.com/alliancestats.php?allianceid=1952,132k active personnel,6 ships,Second World War surplus,Gandhi-like,7 factories,Elite,last online 4 hours ago,rankings.php?subregion=ind,The Eastern Sea,21 Hundred Tons per month,$2478 million,alliancestats.php?allianceid=1952,East Indies,Untapped,Large,http://blocgame.com/rankings.php?subregion=ind,34257 km 2,http://blocgame.com/stats.php?id=60403,,19 Mbbl per month,,
Axestorm,fistmydick,http://blocgame.com/alliancestats.php?allianceid=1595,50k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 106 hours ago,rankings.php?subregion=car,The High Council,20 Hundred Tons per month,$2476 million,alliancestats.php?allianceid=1595,Caribbean,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=car,21367 km 2,http://blocgame.com/stats.php?id=61841,,2 Mbbl per month,,
Losong,Hafirus,http://blocgame.com/alliancestats.php?allianceid=1899,180k active personnel,9 ships,Vietnam War surplus,Questionable,3 factories,Elite,last online 1 hours ago,rankings.php?subregion=pac,Aseang MMP,22 Hundred Tons per month,$2445 million,alliancestats.php?allianceid=1899,Pacific Rim,Near Depletion,Powerful,http://blocgame.com/rankings.php?subregion=pac,28427 km 2,http://blocgame.com/stats.php?id=60570,,18 Mbbl per month,,
San-t�iao,Ching Shih,http://blocgame.com/alliancestats.php?allianceid=1580,163k active personnel,44 ships,First World War surplus,Gandhi-like,9 factories,Elite,last online 20 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,50 Hundred Tons per month,$2441 million,alliancestats.php?allianceid=1580,Pacific Rim,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,106283 km 2,http://blocgame.com/stats.php?id=60079,,17 Mbbl per month,,5%
Sebatu,ze_49,http://blocgame.com/alliancestats.php?allianceid=1595,25k active personnel,4 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 35 hours ago,rankings.php?subregion=ind,The High Council,8 Hundred Tons per month,$2425 million,alliancestats.php?allianceid=1595,East Indies,Untapped,Large,http://blocgame.com/rankings.php?subregion=ind,22519 km 2,http://blocgame.com/stats.php?id=61790,,7 Mbbl per month,,
gong badang,yusjimmy,http://blocgame.com/alliancestats.php?allianceid=1899,104k active personnel,12 ships,First World War surplus,Normal,3 factories,Good,last online 1 hours ago,rankings.php?subregion=ama,Aseang MMP,37 Hundred Tons per month,$2412 million,alliancestats.php?allianceid=1899,Amazonia,Near Depletion,Large,http://blocgame.com/rankings.php?subregion=ama,29455 km 2,http://blocgame.com/stats.php?id=61914,,11 Mbbl per month,,
SRI NANING,afiq peace,http://blocgame.com/alliancestats.php?allianceid=1899,0k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 71 hours ago,rankings.php?subregion=pac,Aseang MMP,11 Hundred Tons per month,$2409 million,alliancestats.php?allianceid=1899,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,13613 km 2,http://blocgame.com/stats.php?id=61923,,5 Mbbl per month,,
JK,Lavey,http://blocgame.com/alliancestats.php?allianceid=1580,4k active personnel,0 ships,First World War surplus,Questionable,1 factory,Undisciplined Rabble,last online 158 hours ago,rankings.php?subregion=per,Brotherhood of Nod,5 Hundred Tons per month,$2389 million,alliancestats.php?allianceid=1580,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,9455 km 2,http://blocgame.com/stats.php?id=58602,1741 Mbbl,4 Mbbl per month,,
Hitlerwasright,Louis C Cuck,http://blocgame.com/alliancestats.php?allianceid=1580,5k active personnel,13 ships,Korean War surplus,Normal,3 factories,Elite,last online 3 hours ago,rankings.php?subregion=ara,Brotherhood of Nod,3 Hundred Tons per month,$2367 million,alliancestats.php?allianceid=1580,Arabia,Depleted,Meagre,http://blocgame.com/rankings.php?subregion=ara,9471 km 2,http://blocgame.com/stats.php?id=59621,,11 Mbbl per month,,
Trump Iraq,President Trumparino,http://blocgame.com/alliancestats.php?allianceid=1595,49k active personnel,5 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 7 hours ago,rankings.php?subregion=mes,The High Council,12 Hundred Tons per month,$2363 million,alliancestats.php?allianceid=1595,Mesopotamia,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=mes,15455 km 2,http://blocgame.com/stats.php?id=59195,,12 Mbbl per month,,
Sw�r�s,Crezz Vazz,http://blocgame.com/alliancestats.php?allianceid=1595,81k active personnel,2 ships,Korean War surplus,Gandhi-like,4 factories,Good,last online 24 hours ago,rankings.php?subregion=gra,The High Council,14 Hundred Tons per month,$2352 million,alliancestats.php?allianceid=1595,Gran Colombia,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=gra,20000 km 2,http://blocgame.com/stats.php?id=61466,26 Mbbl,13 Mbbl per month,,
Mangkok,MangkukHayun,http://blocgame.com/alliancestats.php?allianceid=1595,67k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 9 hours ago,rankings.php?subregion=ind,The High Council,22 Hundred Tons per month,$2350 million,alliancestats.php?allianceid=1595,East Indies,,Mediocre,http://blocgame.com/rankings.php?subregion=ind,31883 km 2,http://blocgame.com/stats.php?id=62210,,12 Mbbl per month,,
Herpderpastan,Herpderpmcderp,http://blocgame.com/alliancestats.php?allianceid=1393,260k active personnel,17 ships,Persian Gulf War surplus,Gandhi-like,13 factories,Elite,last online 11 hours ago,rankings.php?subregion=per,BAMF,41 Hundred Tons per month,$2336 million,alliancestats.php?allianceid=1393,Persia,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=per,54194 km 2,http://blocgame.com/stats.php?id=40615,,25 Mbbl per month,,
Kesatuan lipan,Lipantidur,http://blocgame.com/alliancestats.php?allianceid=1899,82k active personnel,8 ships,Second World War surplus,Gandhi-like,4 factories,Standard,last online 119 hours ago,rankings.php?subregion=ind,Aseang MMP,12 Hundred Tons per month,$2335 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=ind,20878 km 2,http://blocgame.com/stats.php?id=60459,233 Mbbl,12 Mbbl per month,,
Together,Zandberg,http://blocgame.com/alliancestats.php?allianceid=1966,110k active personnel,3 ships,Second World War surplus,Gandhi-like,3 factories,Standard,last online 6 hours ago,rankings.php?subregion=saf,Lithuanian Coalition,19 Hundred Tons per month,$2318 million,alliancestats.php?allianceid=1966,Southern Africa,Untapped,Powerful,http://blocgame.com/rankings.php?subregion=saf,19998 km 2,http://blocgame.com/stats.php?id=61586,50 Mbbl,12 Mbbl per month,,
Nueva Asia,Franco C. Manrique,http://blocgame.com/alliancestats.php?allianceid=1393,180k active personnel,10 ships,Vietnam War surplus,Gandhi-like,6 factories,Good,last online 63 hours ago,rankings.php?subregion=ara,BAMF,30 Hundred Tons per month,$2307 million,alliancestats.php?allianceid=1393,Arabia,Untapped,Large,http://blocgame.com/rankings.php?subregion=ara,33332 km 2,http://blocgame.com/stats.php?id=60216,11951 Mbbl,14 Mbbl per month,,
Spratly,asy_syakir,http://blocgame.com/alliancestats.php?allianceid=1899,211k active personnel,22 ships,Second World War surplus,Isolated,6 factories,Standard,last online 4 hours ago,rankings.php?subregion=ind,Aseang MMP,27 Hundred Tons per month,$2302 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=ind,43039 km 2,http://blocgame.com/stats.php?id=60451,,15 Mbbl per month,,
Planistan,YouDontGetToBringFriends,http://blocgame.com/alliancestats.php?allianceid=1599,213k active personnel,17 ships,Almost Modern,Gandhi-like,5 factories,Poor,last online 43 hours ago,rankings.php?subregion=eaf,Wreckage brothers,25 Hundred Tons per month,$2300 million,alliancestats.php?allianceid=1599,East Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=eaf,46719 km 2,http://blocgame.com/stats.php?id=54874,,16 Mbbl per month,,
Giant Mechs,OiledDNA,http://blocgame.com/alliancestats.php?allianceid=1393,6k active personnel,16 ships,Vietnam War surplus,Normal,2 factories,Good,last online 8 hours ago,rankings.php?subregion=pac,BAMF,14 Hundred Tons per month,$2275 million,alliancestats.php?allianceid=1393,Pacific Rim,,None,http://blocgame.com/rankings.php?subregion=pac,18400 km 2,http://blocgame.com/stats.php?id=60735,250 Mbbl,7 Mbbl per month,,
Caucasia,Vasya,http://blocgame.com/alliancestats.php?allianceid=1580,22k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Good,last online 52 hours ago,rankings.php?subregion=per,Brotherhood of Nod,14 Hundred Tons per month,$2275 million,alliancestats.php?allianceid=1580,Persia,Near Depletion,Very Powerful,http://blocgame.com/rankings.php?subregion=per,15515 km 2,http://blocgame.com/stats.php?id=61029,4515 Mbbl,15 Mbbl per month,,
XNSBG,President XNSBG,http://blocgame.com/alliancestats.php?allianceid=1595,19k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 14 hours ago,rankings.php?subregion=chi,The High Council,14 Hundred Tons per month,$2275 million,alliancestats.php?allianceid=1595,China,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=chi,20300 km 2,http://blocgame.com/stats.php?id=62137,,6 Mbbl per month,,
FSOMA,Fascist Toonder,http://blocgame.com/alliancestats.php?allianceid=1952,2k active personnel,0 ships,First World War surplus,Mad Dog,None,Undisciplined Rabble,last online 26 hours ago,rankings.php?subregion=mex,The Eastern Sea,7 Hundred Tons per month,$2268 million,alliancestats.php?allianceid=1952,Mesoamerica,,None,http://blocgame.com/rankings.php?subregion=mex,9360 km 2,http://blocgame.com/stats.php?id=60165,,1 Mbbl per month,,
Birdland,tweetweetwee,,9k active personnel,3 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 14 hours ago,rankings.php?subregion=per,,16 Hundred Tons per month,$2267 million,,Persia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=per,27754 km 2,http://blocgame.com/stats.php?id=61646,,17 Mbbl per month,,
Asiana,El_Xanatos,http://blocgame.com/alliancestats.php?allianceid=1595,7k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 10 hours ago,rankings.php?subregion=sea,The High Council,26 Hundred Tons per month,$2227 million,alliancestats.php?allianceid=1595,Indochina,Plentiful,Mediocre,http://blocgame.com/rankings.php?subregion=sea,40526 km 2,http://blocgame.com/stats.php?id=62221,,9 Mbbl per month,,
KaIfa,kaIfa,http://blocgame.com/alliancestats.php?allianceid=1899,80k active personnel,4 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 3 hours ago,rankings.php?subregion=ind,Aseang MMP,12 Hundred Tons per month,$2214 million,alliancestats.php?allianceid=1899,East Indies,,Somewhat Large,http://blocgame.com/rankings.php?subregion=ind,21540 km 2,http://blocgame.com/stats.php?id=61737,307 Mbbl,12 Mbbl per month,,
Sanepid,Claude Fromage,http://blocgame.com/alliancestats.php?allianceid=1966,58k active personnel,5 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 43 hours ago,rankings.php?subregion=saf,Lithuanian Coalition,18 Hundred Tons per month,$2207 million,alliancestats.php?allianceid=1966,Southern Africa,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=saf,20000 km 2,http://blocgame.com/stats.php?id=61592,,8 Mbbl per month,,
MalayaRaya,Kitul,http://blocgame.com/alliancestats.php?allianceid=1899,74k active personnel,11 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 4 hours ago,rankings.php?subregion=pac,Aseang MMP,14 Hundred Tons per month,$2185 million,alliancestats.php?allianceid=1899,Pacific Rim,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,19342 km 2,http://blocgame.com/stats.php?id=60388,,5 Mbbl per month,,
Zanujiah,Al-Zanuj,http://blocgame.com/alliancestats.php?allianceid=1599,50k active personnel,0 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 14 hours ago,rankings.php?subregion=egy,Wreckage brothers,15 Hundred Tons per month,$2184 million,alliancestats.php?allianceid=1599,Egypt,Plentiful,Large,http://blocgame.com/rankings.php?subregion=egy,23480 km 2,http://blocgame.com/stats.php?id=61655,,21 Mbbl per month,,
Jahanam,Pala Butoh,http://blocgame.com/alliancestats.php?allianceid=1932,78k active personnel,2 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 13 hours ago,rankings.php?subregion=saf,African Socialism,12 Hundred Tons per month,$2156 million,alliancestats.php?allianceid=1932,Southern Africa,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=saf,19212 km 2,http://blocgame.com/stats.php?id=61191,,8 Mbbl per month,,
Jerai,muadz.zulkar9,http://blocgame.com/alliancestats.php?allianceid=1899,302k active personnel,22 ships,Persian Gulf War surplus,Nice,10 factories,Standard,last online 21 hours ago,rankings.php?subregion=ind,Aseang MMP,9 Hundred Tons per month,$2155 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,52465 km 2,http://blocgame.com/stats.php?id=60621,,13 Mbbl per month,,
Greco-Hetalia,Vladamir Ulyvich,http://blocgame.com/alliancestats.php?allianceid=1393,9k active personnel,1 ships,Second World War surplus,Normal,2 factories,Elite,last online 16 hours ago,rankings.php?subregion=mex,BAMF,12 Hundred Tons per month,$2146 million,alliancestats.php?allianceid=1393,Mesoamerica,Near Depletion,Mediocre,http://blocgame.com/rankings.php?subregion=mex,35502 km 2,http://blocgame.com/stats.php?id=62060,217 Mbbl,12 Mbbl per month,,
Pura Cendana,Tun Nila Utama,http://blocgame.com/alliancestats.php?allianceid=1568,40k active personnel,0 ships,Korean War surplus,Gandhi-like,2 factories,Elite,last online 16 hours ago,rankings.php?subregion=ara,Brotherhood of Zion,5 Hundred Tons per month,$2141 million,alliancestats.php?allianceid=1568,Arabia,,Somewhat Large,http://blocgame.com/rankings.php?subregion=ara,16172 km 2,http://blocgame.com/stats.php?id=61462,8757 Mbbl,16 Mbbl per month,,
Deception,JohnJones,http://blocgame.com/alliancestats.php?allianceid=1595,40k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 17 hours ago,rankings.php?subregion=saf,The High Council,5 Hundred Tons per month,$2139 million,alliancestats.php?allianceid=1595,Southern Africa,Untapped,Small,http://blocgame.com/rankings.php?subregion=saf,15690 km 2,http://blocgame.com/stats.php?id=61528,,3 Mbbl per month,,
Casteldaccia,andreacalo29,http://blocgame.com/alliancestats.php?allianceid=1932,6k active personnel,2 ships,Korean War surplus,Good,3 factories,Elite,last online 2 hours ago,rankings.php?subregion=egy,African Socialism,10 Hundred Tons per month,$2137 million,alliancestats.php?allianceid=1932,Egypt,,Mediocre,http://blocgame.com/rankings.php?subregion=egy,16010 km 2,http://blocgame.com/stats.php?id=61373,7880 Mbbl,8 Mbbl per month,,
