country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,uranium,region,territory,pageUrl,oil_reserves,reactor
Tanah Malaya,Syahmi1089,http://blocgame.com/alliancestats.php?allianceid=1899,66k active personnel,7 ships,Second World War surplus,Nice,3 factories,Good,last online 1 hours ago,rankings.php?subregion=ind,ASEANG,$1931 million,alliancestats.php?allianceid=1899,East Indies,,Large,,http://blocgame.com/rankings.php?subregion=ind,30105 km 2,http://blocgame.com/stats.php?id=60385,,
Malayland,saddamhusain,http://blocgame.com/alliancestats.php?allianceid=1899,22k active personnel,0 ships,Second World War surplus,Good,1 factory,Elite,last online 4 hours ago,rankings.php?subregion=ind,ASEANG,$1940 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Meagre,,http://blocgame.com/rankings.php?subregion=ind,23571 km 2,http://blocgame.com/stats.php?id=60594,784 Mbbl,
Spartan lsnd,Josepgreen,http://blocgame.com/alliancestats.php?allianceid=1835,7k active personnel,2 ships,First World War surplus,Angelic,3 factories,Elite,last online 11 hours ago,rankings.php?subregion=atl,SPQR,$1891 million,alliancestats.php?allianceid=1835,Atlas,,Small,,http://blocgame.com/rankings.php?subregion=atl,13687 km 2,http://blocgame.com/stats.php?id=59652,4464 Mbbl,
kaptencheras,kaptencheras,http://blocgame.com/alliancestats.php?allianceid=1595,39k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 168 hours ago,rankings.php?subregion=ind,The High Council,$1955 million,alliancestats.php?allianceid=1595,East Indies,Untapped,Mediocre,,http://blocgame.com/rankings.php?subregion=ind,19406 km 2,http://blocgame.com/stats.php?id=60571,,
Samosa,Jewboy,http://blocgame.com/alliancestats.php?allianceid=1595,55k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Standard,last online 33 hours ago,rankings.php?subregion=ara,The High Council,$1766 million,alliancestats.php?allianceid=1595,Arabia,Untapped,Powerful,,http://blocgame.com/rankings.php?subregion=ara,20182 km 2,http://blocgame.com/stats.php?id=59258,,
Nuketown,Blobby78,http://blocgame.com/alliancestats.php?allianceid=1595,43k active personnel,5 ships,Second World War surplus,Angelic,3 factories,Elite,last online 6 hours ago,rankings.php?subregion=egy,The High Council,$1896 million,alliancestats.php?allianceid=1595,Egypt,Near Depletion,Large,,http://blocgame.com/rankings.php?subregion=egy,12906 km 2,http://blocgame.com/stats.php?id=59614,5497 Mbbl,
CTSKRR,CTSKRR,http://blocgame.com/alliancestats.php?allianceid=1595,8k active personnel,3 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 130 hours ago,rankings.php?subregion=chi,The High Council,$1927 million,alliancestats.php?allianceid=1595,China,Untapped,Small,,http://blocgame.com/rankings.php?subregion=chi,16254 km 2,http://blocgame.com/stats.php?id=60811,167 Mbbl,
Gate2,TheGate 2,http://blocgame.com/alliancestats.php?allianceid=1595,30k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 152 hours ago,rankings.php?subregion=chi,The High Council,$1897 million,alliancestats.php?allianceid=1595,China,Untapped,Mediocre,,http://blocgame.com/rankings.php?subregion=chi,19639 km 2,http://blocgame.com/stats.php?id=60231,215 Mbbl,
bakhang,cukobi,http://blocgame.com/alliancestats.php?allianceid=1899,115k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Poor,last online 10 hours ago,rankings.php?subregion=ind,ASEANG,$1857 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Powerful,,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60485,,
Kumpa,roaraxes,http://blocgame.com/alliancestats.php?allianceid=1835,52k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Poor,last online 15 hours ago,rankings.php?subregion=sea,SPQR,$1897 million,alliancestats.php?allianceid=1835,Indochina,Untapped,Large,,http://blocgame.com/rankings.php?subregion=sea,26138 km 2,http://blocgame.com/stats.php?id=60792,296 Mbbl,
