country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,uranium,region,territory,pageUrl,oil_reserves,reactor
Jaaaloboland,Jaaalobo1,,15k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 154 hours ago,rankings.php?subregion=gra,,$282 million,,Gran Colombia,Untapped,None,,http://blocgame.com/rankings.php?subregion=gra,20000 km 2,http://blocgame.com/stats.php?id=60030,,
MASSIVE_DICKS,DICK NICKSON,,34k active personnel,0 ships,First World War surplus,1 factory,Undisciplined Rabble,last online 44 hours ago,rankings.php?subregion=pac,,$276 million,,Pacific Rim,Untapped,None,,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60176,,
RODINA,IVAN CHESNOKOV,http://blocgame.com/alliancestats.php?allianceid=1385,2k active personnel,0 ships,First World War surplus,None,Standard,last online 72 hours ago,rankings.php?subregion=mes,Innawoods,$292 million,alliancestats.php?allianceid=1385,Mesopotamia,Untapped,None,,http://blocgame.com/rankings.php?subregion=mes,20000 km 2,http://blocgame.com/stats.php?id=48445,,
Chaouenne2,pyrignis2,,6k active personnel,0 ships,Finest of the 19th century,1 factory,Poor,last online 59 hours ago,rankings.php?subregion=atl,,$287 million,,Atlas,,None,,http://blocgame.com/rankings.php?subregion=atl,16005 km 2,http://blocgame.com/stats.php?id=60017,,
niggaszss,niggaszs,,9k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 47 hours ago,rankings.php?subregion=chi,,$284 million,,China,Untapped,None,,http://blocgame.com/rankings.php?subregion=chi,16667 km 2,http://blocgame.com/stats.php?id=60170,,
Sanistan,Bilal230,,19k active personnel,0 ships,First World War surplus,None,Elite,last online 104 hours ago,rankings.php?subregion=sub,,$273 million,,The Subcontinent,Untapped,None,,http://blocgame.com/rankings.php?subregion=sub,20000 km 2,http://blocgame.com/stats.php?id=60100,,
Marshmallow,Marshmallow,,11k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 122 hours ago,rankings.php?subregion=pac,,$261 million,,Pacific Rim,Untapped,None,,http://blocgame.com/rankings.php?subregion=pac,19700 km 2,http://blocgame.com/stats.php?id=60073,,
NEMOSFLUFFY,NEMOISFLUFFY,,17k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 1 hours ago,rankings.php?subregion=pac,,$262 million,,Pacific Rim,Untapped,Meagre,,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=59908,,
Svettland,gizzag,,6k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 189 hours ago,rankings.php?subregion=ama,,$264 million,,Amazonia,Untapped,None,,http://blocgame.com/rankings.php?subregion=ama,16010 km 2,http://blocgame.com/stats.php?id=60004,,
Gryphonia,David,,19k active personnel,0 ships,First World War surplus,None,Elite,last online 180 hours ago,rankings.php?subregion=egy,,$265 million,,Egypt,Untapped,None,,http://blocgame.com/rankings.php?subregion=egy,20000 km 2,http://blocgame.com/stats.php?id=60008,,
CANCERBOSS,CANCERBOSS,,7k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 67 hours ago,rankings.php?subregion=chi,,$259 million,,China,Untapped,None,,http://blocgame.com/rankings.php?subregion=chi,16417 km 2,http://blocgame.com/stats.php?id=60149,,
poggy,yipog,,10k active personnel,0 ships,First World War surplus,1 factory,Undisciplined Rabble,last online 15 hours ago,rankings.php?subregion=ara,,$278 million,,Arabia,Untapped,None,,http://blocgame.com/rankings.php?subregion=ara,3706 km 2,http://blocgame.com/stats.php?id=58681,1334 Mbbl,
Bostonia,Pedro Laserbeard,,8k active personnel,0 ships,First World War surplus,None,Good,last online 20 hours ago,rankings.php?subregion=saf,,$263 million,,Southern Africa,Untapped,Meagre,,http://blocgame.com/rankings.php?subregion=saf,16335 km 2,http://blocgame.com/stats.php?id=60129,,
