country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil reserves,uranium,reactor,reputation,rm_prod,oil_prod
ReimuIsMyWaifu,rectalopossum,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 155 hours ago,rankings.php?subregion=ara,,$300 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=61686,,,,Normal,,
40GallonsLube,faglord420,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 155 hours ago,rankings.php?subregion=ara,,$300 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=61687,,,,Normal,,
Llorxye,qiffahsy,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 4 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61688,,,,Normal,,
SandBritain,SpeedMan,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 155 hours ago,rankings.php?subregion=ara,,$300 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=61689,,,,Normal,,
Airhorn Anal,LelkyLelbao,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 155 hours ago,rankings.php?subregion=ara,,$300 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,None,http://blocgame.com/stats.php?id=61690,,,,Normal,,
Mechassn,President Baby,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 9 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=61698,,,,Normal,,
Qastury,kasturi,,17k active personnel,0 ships,Finest of the 19th century,,Standard,last online 9 hours ago,rankings.php?subregion=atl,,$300 million,,Atlas,Untapped,None,http://blocgame.com/rankings.php?subregion=atl,None,http://blocgame.com/stats.php?id=61699,,,,Normal,,
methamphetamine,UDIN88,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 9 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61702,,,,Normal,,
Kapitan,Kapitan,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 6 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61709,,,,Normal,,
SUNGAI KERAK,Nizarudin,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 6 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61710,,,,Normal,,
