country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,airforce,region,territory,pageUrl,manpower,uranium,oil_reserves,reactor
Itech,itech,,22k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 79 hours ago,rankings.php?subregion=pac,,$351 million,,Pacific Rim,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60651,Untapped,,,
PakatanBeraBera,kaizermalaya,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 101 hours ago,rankings.php?subregion=ind,,$351 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60467,Untapped,,,
Gombak,ArericH,http://blocgame.com/alliancestats.php?allianceid=1899,25k active personnel,0 ships,First World War surplus,None,Elite,last online 3 hours ago,rankings.php?subregion=pac,ASEANG,$350 million,alliancestats.php?allianceid=1899,Pacific Rim,Meagre,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60568,Untapped,,,
Cadwgania,failtolawl,,22k active personnel,0 ships,Finest of the 19th century,None,Good,last online 15 hours ago,rankings.php?subregion=congo,,$353 million,,Congo,Meagre,http://blocgame.com/rankings.php?subregion=congo,20000 km 2,http://blocgame.com/stats.php?id=60637,Untapped,,,
Mahawangsa,iskandariah,http://blocgame.com/alliancestats.php?allianceid=1899,24k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 3 hours ago,rankings.php?subregion=ind,ASEANG,$353 million,alliancestats.php?allianceid=1899,East Indies,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60504,Untapped,,58 Mbbl,
lumeria,the white,,11k active personnel,0 ships,Finest of the 19th century,None,Undisciplined Rabble,last online 90 hours ago,rankings.php?subregion=pac,,$358 million,,Pacific Rim,None,http://blocgame.com/rankings.php?subregion=pac,16255 km 2,http://blocgame.com/stats.php?id=60376,Untapped,,,
Malasier,Pendekar2810,,27k active personnel,0 ships,First World War surplus,None,Elite,last online 36 hours ago,rankings.php?subregion=ind,,$346 million,,East Indies,Small,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60378,Untapped,,,
Gajah Mati,ayyub,http://blocgame.com/alliancestats.php?allianceid=1899,25k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 4 hours ago,rankings.php?subregion=ind,ASEANG,$352 million,alliancestats.php?allianceid=1899,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60540,Untapped,,,
silver state,faridyusop87,,22k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 103 hours ago,rankings.php?subregion=ind,,$343 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60432,Untapped,,,
Pasir Dengung,Menteri Fasola,http://blocgame.com/alliancestats.php?allianceid=1899,20k active personnel,0 ships,Finest of the 19th century,None,Elite,last online 4 hours ago,rankings.php?subregion=ind,ASEANG,$353 million,alliancestats.php?allianceid=1899,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60712,Untapped,,,
Verah,pkay08,,8k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 137 hours ago,rankings.php?subregion=ara,,$357 million,,Arabia,None,http://blocgame.com/rankings.php?subregion=ara,16335 km 2,http://blocgame.com/stats.php?id=60348,Untapped,,3880 Mbbl,
Melayu,mike ibrahim,http://blocgame.com/alliancestats.php?allianceid=1899,7k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 55 hours ago,rankings.php?subregion=pac,ASEANG,$348 million,alliancestats.php?allianceid=1899,Pacific Rim,None,http://blocgame.com/rankings.php?subregion=pac,19058 km 2,http://blocgame.com/stats.php?id=60380,Untapped,,,
Jerung Hantu,Syark Land,http://blocgame.com/alliancestats.php?allianceid=1899,19k active personnel,0 ships,First World War surplus,None,Standard,last online 13 hours ago,rankings.php?subregion=ind,ASEANG,$349 million,alliancestats.php?allianceid=1899,East Indies,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60505,Untapped,,,
Unasure,Aldebaran,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 74 hours ago,rankings.php?subregion=con,,$346 million,,Southern Cone,None,http://blocgame.com/rankings.php?subregion=con,20000 km 2,http://blocgame.com/stats.php?id=60702,Untapped,,,
Gagak hitam,Fadhil,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 103 hours ago,rankings.php?subregion=ind,,$346 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60463,Untapped,,,
Malaya Grampus,akifzainal,http://blocgame.com/alliancestats.php?allianceid=1899,20k active personnel,0 ships,First World War surplus,None,Standard,last online 2 hours ago,rankings.php?subregion=ind,ASEANG,$344 million,alliancestats.php?allianceid=1899,East Indies,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60469,Untapped,,203 Mbbl,
BUDU,AbeJib,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 101 hours ago,rankings.php?subregion=ind,,$346 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60503,Untapped,,,
Hafizi,zulrosdi,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 101 hours ago,rankings.php?subregion=sea,,$346 million,,Indochina,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=60518,Untapped,,,
chenor,jana,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 100 hours ago,rankings.php?subregion=ind,,$346 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60524,Untapped,,,
Serennia,hanamichi,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 89 hours ago,rankings.php?subregion=pac,,$346 million,,Pacific Rim,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60608,Untapped,,,
NegaraJibby,IkhwanMuslim,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 91 hours ago,rankings.php?subregion=ind,,$346 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60609,Untapped,,,
Eternal Empire,kulupapaku,,22k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 60 hours ago,rankings.php?subregion=ind,,$346 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60643,Untapped,,,
Kerian,ayie,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 64 hours ago,rankings.php?subregion=ind,,$344 million,,East Indies,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60672,Untapped,,,
PenagaActual,DonDeLaHoya,http://blocgame.com/alliancestats.php?allianceid=1899,18k active personnel,0 ships,First World War surplus,1 factory,Standard,last online 5 hours ago,rankings.php?subregion=ind,ASEANG,$352 million,alliancestats.php?allianceid=1899,East Indies,Mediocre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60730,Untapped,,,
melayu2.0,afiq123,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 109 hours ago,rankings.php?subregion=pac,,$344 million,,Pacific Rim,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60421,Untapped,,,
Guatemala.,grazioso,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 72 hours ago,rankings.php?subregion=mex,,$345 million,,Mesoamerica,None,http://blocgame.com/rankings.php?subregion=mex,20000 km 2,http://blocgame.com/stats.php?id=60701,Untapped,,,
Kemaman,Kleo,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 99 hours ago,rankings.php?subregion=ind,,$334 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60553,Untapped,,,
malays only,amril3036,http://blocgame.com/alliancestats.php?allianceid=1899,30k active personnel,0 ships,First World War surplus,None,Undisciplined Rabble,online now,rankings.php?subregion=sea,ASEANG,$351 million,alliancestats.php?allianceid=1899,Indochina,Meagre,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=60591,,,704 Mbbl,
Bote,Apoyard,http://blocgame.com/alliancestats.php?allianceid=1899,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 77 hours ago,rankings.php?subregion=ind,ASEANG,$343 million,alliancestats.php?allianceid=1899,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60596,Untapped,,,
PARASIT,azman kerbau,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 87 hours ago,rankings.php?subregion=ind,,$343 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60633,Untapped,,,
Proton,clownkilla1981,http://blocgame.com/alliancestats.php?allianceid=1899,22k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 81 hours ago,rankings.php?subregion=ind,ASEANG,$341 million,alliancestats.php?allianceid=1899,East Indies,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60489,Untapped,,,
CrushZion,mohdjarbinx,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 87 hours ago,rankings.php?subregion=ind,,$340 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60632,Untapped,,,
Daun Pisang,Shahidan,,22k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 4 hours ago,rankings.php?subregion=ind,,$337 million,,East Indies,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60607,Untapped,,,
Ganu,General Khalid,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 4 hours ago,rankings.php?subregion=ind,,$341 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60713,Untapped,,,
Shrewsbury,General Corbyn,http://blocgame.com/alliancestats.php?allianceid=1907,9k active personnel,0 ships,First World War surplus,None,Standard,last online 1 hours ago,rankings.php?subregion=gra,Squirtle,$342 million,alliancestats.php?allianceid=1907,Gran Colombia,Meagre,http://blocgame.com/rankings.php?subregion=gra,19800 km 2,http://blocgame.com/stats.php?id=60498,Untapped,,,
Bagirama,avernus,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 86 hours ago,rankings.php?subregion=sea,,$336 million,,Indochina,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=60480,Untapped,,,
Banjica,Stjepan Filipovic,,27k active personnel,0 ships,First World War surplus,None,Elite,last online 60 hours ago,rankings.php?subregion=pac,,$332 million,,Pacific Rim,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60675,Untapped,,,
Rentaka,Blackburn,http://blocgame.com/alliancestats.php?allianceid=1899,20k active personnel,0 ships,Finest of the 19th century,1 factory,Elite,last online 4 hours ago,rankings.php?subregion=ind,ASEANG,$341 million,alliancestats.php?allianceid=1899,East Indies,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60688,Untapped,,,
Chinvanie,Lau Wang Chun,http://blocgame.com/alliancestats.php?allianceid=1916,18k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 39 hours ago,rankings.php?subregion=sea,Indochinese Union,$342 million,alliancestats.php?allianceid=1916,Indochina,Meagre,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=60732,Untapped,,,
Kebabis,Sultan Kebab,,17k active personnel,0 ships,Finest of the 19th century,None,Poor,last online 2 hours ago,rankings.php?subregion=ara,,$347 million,,Arabia,None,http://blocgame.com/rankings.php?subregion=ara,20000 km 2,http://blocgame.com/stats.php?id=60765,Untapped,,,
Enzai,Enzai,,3k active personnel,0 ships,Finest of the 19th century,None,Undisciplined Rabble,last online 53 hours ago,rankings.php?subregion=car,,$330 million,,Caribbean,None,http://blocgame.com/rankings.php?subregion=car,16335 km 2,http://blocgame.com/stats.php?id=59873,,,,
The oil guy,To Victory,,4k active personnel,0 ships,Finest of the 19th century,None,Good,last online 19 hours ago,rankings.php?subregion=pac,,$340 million,,Pacific Rim,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60714,Untapped,,,
klang,remdzklang,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 96 hours ago,rankings.php?subregion=ind,,$328 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60597,Untapped,,,
roccos,rocco,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 80 hours ago,rankings.php?subregion=chi,,$336 million,,China,None,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=60673,Untapped,,,
Malayantribes,Fir1999,http://blocgame.com/alliancestats.php?allianceid=1899,24k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 4 hours ago,rankings.php?subregion=ind,ASEANG,$335 million,alliancestats.php?allianceid=1899,East Indies,Meagre,http://blocgame.com/rankings.php?subregion=ind,20200 km 2,http://blocgame.com/stats.php?id=60721,Untapped,,263 Mbbl,
pengkalan chepa,sultan pali,,18k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 1 hours ago,rankings.php?subregion=ind,,$340 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60742,Untapped,,,
Pepperdogia,Pepperdogia,,1k active personnel,0 ships,First World War surplus,1 factory,Undisciplined Rabble,last online 43 hours ago,rankings.php?subregion=chi,,$323 million,,China,None,http://blocgame.com/rankings.php?subregion=chi,19100 km 2,http://blocgame.com/stats.php?id=60312,Untapped,,,
daikana,dawn jones,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 6 hours ago,rankings.php?subregion=chi,,$335 million,,China,Meagre,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=60424,Untapped,,,
Johore,Izuddin,,20k active personnel,0 ships,First World War surplus,None,Elite,last online 9 hours ago,rankings.php?subregion=sea,,$336 million,,Indochina,Meagre,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=60455,Untapped,,223 Mbbl,
sungai besi,jaja_jerX,,23k active personnel,0 ships,First World War surplus,None,Elite,last online 94 hours ago,rankings.php?subregion=ind,,$326 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60602,Untapped,,,
Malayo,Syafiq_mohd,http://blocgame.com/alliancestats.php?allianceid=1899,11k active personnel,0 ships,First World War surplus,1 factory,Standard,online now,rankings.php?subregion=ind,ASEANG,$339 million,alliancestats.php?allianceid=1899,East Indies,Meagre,http://blocgame.com/rankings.php?subregion=ind,21935 km 2,http://blocgame.com/stats.php?id=60631,Untapped,,,
MalayaRaya,Kitul,,25k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 5 hours ago,rankings.php?subregion=pac,,$336 million,,Pacific Rim,Meagre,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60388,Untapped,,83 Mbbl,
Kembayat,affiqmuhd,,13k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 98 hours ago,rankings.php?subregion=ind,,$339 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,19800 km 2,http://blocgame.com/stats.php?id=60579,Untapped,,,
Novi Sad,Serbian Gamer,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 36 hours ago,rankings.php?subregion=egy,,$335 million,,Egypt,None,http://blocgame.com/rankings.php?subregion=egy,20000 km 2,http://blocgame.com/stats.php?id=60752,Untapped,,,
PIGLORDONIA,PIG GOD,http://blocgame.com/alliancestats.php?allianceid=1917,20k active personnel,0 ships,First World War surplus,None,Standard,last online 20 hours ago,rankings.php?subregion=mes,VELIKI CRNI KURAC,$339 million,alliancestats.php?allianceid=1917,Mesopotamia,None,http://blocgame.com/rankings.php?subregion=mes,20000 km 2,http://blocgame.com/stats.php?id=60768,Untapped,,,
Redneck,Bangsawan,,20k active personnel,0 ships,First World War surplus,1 factory,Standard,last online 2 hours ago,rankings.php?subregion=ind,,$333 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60617,Untapped,,,
KakMahPower,tuan tanah kedaun,,20k active personnel,0 ships,First World War surplus,None,Standard,last online 1 hours ago,rankings.php?subregion=sea,,$334 million,,Indochina,Meagre,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=60656,Untapped,,78 Mbbl,
RawMaterials,CBebbs01,,2k active personnel,0 ships,Finest of the 19th century,None,Elite,last online 19 hours ago,rankings.php?subregion=pac,,$334 million,,Pacific Rim,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60723,Untapped,,,
Bayu,Kazeng,http://blocgame.com/alliancestats.php?allianceid=1899,20k active personnel,0 ships,Finest of the 19th century,None,Good,last online 7 hours ago,rankings.php?subregion=ind,ASEANG,$330 million,alliancestats.php?allianceid=1899,East Indies,Meagre,http://blocgame.com/rankings.php?subregion=ind,20594 km 2,http://blocgame.com/stats.php?id=60447,Untapped,,,
awanghitam,awanghitam,,18k active personnel,0 ships,Finest of the 19th century,1 factory,Good,last online 1 hours ago,rankings.php?subregion=ind,,$337 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60739,Untapped,,104 Mbbl,
Kesatuan lipan,Lipantidur,http://blocgame.com/alliancestats.php?allianceid=1899,25k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 2 hours ago,rankings.php?subregion=ind,ASEANG,$328 million,alliancestats.php?allianceid=1899,East Indies,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60459,Untapped,,73 Mbbl,
Mlysia,iwan2792,,22k active personnel,0 ships,First World War surplus,None,Poor,last online 78 hours ago,rankings.php?subregion=ind,,$330 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60549,Untapped,,332 Mbbl,
Casandra,Casandra ela,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 51 hours ago,rankings.php?subregion=egy,,$327 million,,Egypt,Meagre,http://blocgame.com/rankings.php?subregion=egy,20000 km 2,http://blocgame.com/stats.php?id=60639,Untapped,,3692 Mbbl,
Teganu,awangTranung,,20k active personnel,0 ships,Finest of the 19th century,1 factory,Standard,last online 10 hours ago,rankings.php?subregion=ind,,$331 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60668,Untapped,,,
Brown Coats,KillJoy,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 70 hours ago,rankings.php?subregion=sea,,$331 million,,Indochina,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=60710,Untapped,,,
Darul Takzim,Faizal_Sarmani,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 56 hours ago,rankings.php?subregion=ind,,$330 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60612,Untapped,,,
Annisa,General Firdaus,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 86 hours ago,rankings.php?subregion=ind,,$323 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60645,Untapped,,,
Analinggam,hafizsarimin,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 85 hours ago,rankings.php?subregion=pac,,$323 million,,Pacific Rim,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60649,Untapped,,,
Malaysiakuuu,cepon16,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 85 hours ago,rankings.php?subregion=ind,,$323 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60653,Untapped,,,
mas united,strict,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 85 hours ago,rankings.php?subregion=ind,,$323 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60655,Untapped,,,
Merong,Zedda,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 84 hours ago,rankings.php?subregion=ind,,$323 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60659,Untapped,,,
kalantana,long senik,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 84 hours ago,rankings.php?subregion=ind,,$323 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60661,Untapped,,,
rmm,badam,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 84 hours ago,rankings.php?subregion=ara,,$323 million,,Arabia,None,http://blocgame.com/rankings.php?subregion=ara,20000 km 2,http://blocgame.com/stats.php?id=60662,Untapped,,,
unitrade,blackguard,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 84 hours ago,rankings.php?subregion=sub,,$323 million,,The Subcontinent,None,http://blocgame.com/rankings.php?subregion=sub,20000 km 2,http://blocgame.com/stats.php?id=60663,Untapped,,,
Expasir,doremi,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 83 hours ago,rankings.php?subregion=ind,,$323 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60666,Untapped,,,
Msia,JohnTheBrother,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 79 hours ago,rankings.php?subregion=sea,,$323 million,,Indochina,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=60678,Untapped,,,
PembarisBesi,cpot2020,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 78 hours ago,rankings.php?subregion=ind,,$323 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60681,Untapped,,,
Matiitupasti,Brass,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 78 hours ago,rankings.php?subregion=ind,,$323 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60682,Untapped,,,
ortolania,Orik,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 77 hours ago,rankings.php?subregion=egy,,$323 million,,Egypt,None,http://blocgame.com/rankings.php?subregion=egy,20000 km 2,http://blocgame.com/stats.php?id=60690,Untapped,,1969 Mbbl,
Gempurteam,Abe ngoh,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 75 hours ago,rankings.php?subregion=ind,,$323 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60700,Untapped,,,
ADAMLAND,adamharez,http://blocgame.com/alliancestats.php?allianceid=1908,20k active personnel,0 ships,First World War surplus,None,Good,online now,rankings.php?subregion=ara,kawan kawan,$331 million,alliancestats.php?allianceid=1908,Arabia,Meagre,http://blocgame.com/rankings.php?subregion=ara,20000 km 2,http://blocgame.com/stats.php?id=60764,Untapped,,2784 Mbbl,
Atoms,Totakun,,15k active personnel,0 ships,First World War surplus,None,Good,last online 112 hours ago,rankings.php?subregion=chi,,$321 million,,China,Small,http://blocgame.com/rankings.php?subregion=chi,16335 km 2,http://blocgame.com/stats.php?id=59898,Untapped,,,
lompoianz,lompoi malaya,http://blocgame.com/alliancestats.php?allianceid=1899,21k active personnel,0 ships,First World War surplus,1 factory,Good,online now,rankings.php?subregion=ind,ASEANG,$323 million,alliancestats.php?allianceid=1899,East Indies,Meagre,http://blocgame.com/rankings.php?subregion=ind,20195 km 2,http://blocgame.com/stats.php?id=60500,Plentiful,,413 Mbbl,
MYland,M U H D ASYRAF,http://blocgame.com/alliancestats.php?allianceid=1899,20k active personnel,0 ships,First World War surplus,None,Good,last online 2 hours ago,rankings.php?subregion=ind,ASEANG,$327 million,alliancestats.php?allianceid=1899,East Indies,Meagre,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60582,Untapped,,395 Mbbl,
SPG,caliph,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 95 hours ago,rankings.php?subregion=ind,,$320 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60599,Untapped,,,
Kelantan,Zarimi,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 94 hours ago,rankings.php?subregion=ind,,$320 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60603,Untapped,,,
DeMon,aresey,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 91 hours ago,rankings.php?subregion=ind,,$320 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60610,Untapped,,,
Issketammbolaa,Titewmen2jew,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 90 hours ago,rankings.php?subregion=ind,,$320 million,,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60616,Untapped,,,
Sansansan,sania2,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 87 hours ago,rankings.php?subregion=egy,,$320 million,,Egypt,None,http://blocgame.com/rankings.php?subregion=egy,20000 km 2,http://blocgame.com/stats.php?id=60635,Untapped,,,
qurisia,ciphersolo,,23k active personnel,0 ships,First World War surplus,None,Elite,last online 79 hours ago,rankings.php?subregion=pac,,$325 million,,Pacific Rim,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60636,Untapped,,,
Puncak Alam,Abg Ami,http://blocgame.com/alliancestats.php?allianceid=1899,15k active personnel,0 ships,First World War surplus,1 factory,Good,last online 2 hours ago,rankings.php?subregion=sea,ASEANG,$319 million,alliancestats.php?allianceid=1899,Indochina,Meagre,http://blocgame.com/rankings.php?subregion=sea,23828 km 2,http://blocgame.com/stats.php?id=60373,Untapped,,369 Mbbl,
Al-Khalifah,Meyy,http://blocgame.com/alliancestats.php?allianceid=1899,18k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 3 hours ago,rankings.php?subregion=ind,ASEANG,$326 million,alliancestats.php?allianceid=1899,East Indies,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=60477,Untapped,,,
Levinthia,Morpheus,,20k active personnel,0 ships,First World War surplus,None,Standard,last online 17 hours ago,rankings.php?subregion=mex,,$327 million,,Mesoamerica,Meagre,http://blocgame.com/rankings.php?subregion=mex,20000 km 2,http://blocgame.com/stats.php?id=60720,Untapped,,,
Wezza,willba232,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 61 hours ago,rankings.php?subregion=sea,,$328 million,,Indochina,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=60738,Untapped,,,
