country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,airforce,region,territory,pageUrl,manpower,uranium,oil_reserves,reactor
Crimea,Hayro Khan,http://blocgame.com/alliancestats.php?allianceid=1393,138k active personnel,24 ships,Persian Gulf War surplus,6 factories,Good,last online 32 hours ago,rankings.php?subregion=atl,BAMF,$13997 million,alliancestats.php?allianceid=1393,Atlas,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,31052 km 2,http://blocgame.com/stats.php?id=2570,Untapped,,8294 Mbbl,5%
Bear Country,Kowalski,http://blocgame.com/alliancestats.php?allianceid=1580,121k active personnel,5 ships,Second World War surplus,3 factories,Elite,online now,rankings.php?subregion=per,Brotherhood of Nod,$13901 million,alliancestats.php?allianceid=1580,Persia,Mediocre,http://blocgame.com/rankings.php?subregion=per,22521 km 2,http://blocgame.com/stats.php?id=54578,Plentiful,,2793 Mbbl,
South Grestin,Haenel,http://blocgame.com/alliancestats.php?allianceid=1580,197k active personnel,32 ships,Persian Gulf War surplus,8 factories,Elite,last online 22 hours ago,rankings.php?subregion=sea,Brotherhood of Nod,$13898 million,alliancestats.php?allianceid=1580,Indochina,Very Powerful,http://blocgame.com/rankings.php?subregion=sea,34166 km 2,http://blocgame.com/stats.php?id=46163,Untapped,,,5%
Bih,Fidel Baneo,http://blocgame.com/alliancestats.php?allianceid=1599,372k active personnel,40 ships,Persian Gulf War surplus,12 factories,Poor,last online 13 hours ago,rankings.php?subregion=mex,Wreckage brothers,$13742 million,alliancestats.php?allianceid=1599,Mesoamerica,Very Powerful,http://blocgame.com/rankings.php?subregion=mex,102949 km 2,http://blocgame.com/stats.php?id=53791,Untapped,,,
Casa del Nolano,jnolat09,http://blocgame.com/alliancestats.php?allianceid=1599,150k active personnel,15 ships,Persian Gulf War surplus,5 factories,Good,last online 9 hours ago,rankings.php?subregion=ind,Wreckage brothers,$13755 million,alliancestats.php?allianceid=1599,East Indies,Very Powerful,http://blocgame.com/rankings.php?subregion=ind,17783 km 2,http://blocgame.com/stats.php?id=45936,Untapped,,,
QonoS,Tmonsta,http://blocgame.com/alliancestats.php?allianceid=1595,198k active personnel,33 ships,Persian Gulf War surplus,11 factories,Good,last online 1 hours ago,rankings.php?subregion=chi,The High Council,$13751 million,alliancestats.php?allianceid=1595,China,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,34576 km 2,http://blocgame.com/stats.php?id=44539,Plentiful,1 Tons,,30%
The Hegemony,Peter Wiggin,http://blocgame.com/alliancestats.php?allianceid=1644,218k active personnel,36 ships,Almost Modern,9 factories,Good,last online 14 hours ago,rankings.php?subregion=gra,Inter/pol/,$13536 million,alliancestats.php?allianceid=1644,Gran Colombia,Very Powerful,http://blocgame.com/rankings.php?subregion=gra,38475 km 2,http://blocgame.com/stats.php?id=40840,Untapped,,,
Almania,Almanich,http://blocgame.com/alliancestats.php?allianceid=1580,332k active personnel,36 ships,Almost Modern,17 factories,Poor,last online 1 hours ago,rankings.php?subregion=chi,Brotherhood of Nod,$13540 million,alliancestats.php?allianceid=1580,China,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,37527 km 2,http://blocgame.com/stats.php?id=51725,Untapped,,,
Iranzamin,Lord of War,http://blocgame.com/alliancestats.php?allianceid=1644,165k active personnel,51 ships,Persian Gulf War surplus,10 factories,Elite,last online 19 hours ago,rankings.php?subregion=per,Inter/pol/,$13498 million,alliancestats.php?allianceid=1644,Persia,Very Powerful,http://blocgame.com/rankings.php?subregion=per,51957 km 2,http://blocgame.com/stats.php?id=49556,Untapped,,4467 Mbbl,
Lalaland,Lalaland,http://blocgame.com/alliancestats.php?allianceid=1580,198k active personnel,34 ships,Persian Gulf War surplus,8 factories,Elite,last online 3 hours ago,rankings.php?subregion=pac,Brotherhood of Nod,$13404 million,alliancestats.php?allianceid=1580,Pacific Rim,Very Powerful,http://blocgame.com/rankings.php?subregion=pac,27955 km 2,http://blocgame.com/stats.php?id=40201,Untapped,,,
