country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
valenfold,velanis,,62k active personnel,0 ships,First World War surplus,1 factory,Good,online now,rankings.php?subregion=ara,,$517 million,,Arabia,Near Depletion,Meagre,http://blocgame.com/rankings.php?subregion=ara,24313 km 2,http://blocgame.com/stats.php?id=60395,,5024 Mbbl,
Maicopia,Maycee,http://blocgame.com/alliancestats.php?allianceid=1875,9k active personnel,0 ships,First World War surplus,1 factory,Elite,last online 38 hours ago,rankings.php?subregion=pac,The Triad,$430 million,alliancestats.php?allianceid=1875,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,16500 km 2,http://blocgame.com/stats.php?id=60299,,217 Mbbl,
Bubbistan,Tiny Bubbles,,15k active personnel,0 ships,First World War surplus,None,Poor,last online 32 hours ago,rankings.php?subregion=mes,,$510 million,,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,16584 km 2,http://blocgame.com/stats.php?id=60301,,,
willsbitch,fuckvacation,,38k active personnel,0 ships,Second World War surplus,1 factory,Standard,last online 9 hours ago,rankings.php?subregion=egy,,$508 million,,Egypt,,Mediocre,http://blocgame.com/rankings.php?subregion=egy,20375 km 2,http://blocgame.com/stats.php?id=60078,,,
DeathGods,devin59320,http://blocgame.com/alliancestats.php?allianceid=1580,26k active personnel,0 ships,Finest of the 19th century,1 factory,Elite,last online 17 hours ago,rankings.php?subregion=chi,Brotherhood of Nod,$503 million,alliancestats.php?allianceid=1580,China,Plentiful,Meagre,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=60287,,284 Mbbl,
SandNiggers,bear31899,,20k active personnel,0 ships,First World War surplus,None,Standard,last online 19 hours ago,rankings.php?subregion=ara,,$484 million,,Arabia,Plentiful,None,http://blocgame.com/rankings.php?subregion=ara,14940 km 2,http://blocgame.com/stats.php?id=55783,,,
Spratly,asy_syakir,http://blocgame.com/alliancestats.php?allianceid=1899,30k active personnel,0 ships,Finest of the 19th century,1 factory,Elite,last online 2 hours ago,rankings.php?subregion=ind,ASEANG,$482 million,alliancestats.php?allianceid=1899,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,27330 km 2,http://blocgame.com/stats.php?id=60451,,340 Mbbl,
Freshwell,Serious,http://blocgame.com/alliancestats.php?allianceid=1644,85k active personnel,1 ships,Korean War surplus,3 factories,Good,last online 18 hours ago,rankings.php?subregion=atl,Inter/pol/,$477 million,alliancestats.php?allianceid=1644,Atlas,Untapped,Very Powerful,http://blocgame.com/rankings.php?subregion=atl,68057 km 2,http://blocgame.com/stats.php?id=58341,1 Tons,,
Honduras,Inferno666,,10k active personnel,0 ships,First World War surplus,1 factory,Undisciplined Rabble,last online 1 hours ago,rankings.php?subregion=mex,,$473 million,,Mesoamerica,Untapped,Small,http://blocgame.com/rankings.php?subregion=mex,20000 km 2,http://blocgame.com/stats.php?id=60291,,,
Weeblandia,KayDeeHaych,,18k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 173 hours ago,rankings.php?subregion=pac,,$461 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60270,,19 Mbbl,
Valograte,McSwagsama,,18k active personnel,0 ships,First World War surplus,None,Poor,last online 169 hours ago,rankings.php?subregion=pac,,$453 million,,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=60220,,,
NONG\\\'S,emjayking,http://blocgame.com/alliancestats.php?allianceid=1595,20k active personnel,0 ships,First World War surplus,None,Elite,last online 45 hours ago,rankings.php?subregion=ama,The High Council,$451 million,alliancestats.php?allianceid=1595,Amazonia,Untapped,Small,http://blocgame.com/rankings.php?subregion=ama,20000 km 2,http://blocgame.com/stats.php?id=60232,,,
District 13,Ash Ferguson,http://blocgame.com/alliancestats.php?allianceid=1595,16k active personnel,0 ships,First World War surplus,1 factory,Good,last online 10 hours ago,rankings.php?subregion=pac,The High Council,$450 million,alliancestats.php?allianceid=1595,Pacific Rim,Untapped,Small,http://blocgame.com/rankings.php?subregion=pac,16208 km 2,http://blocgame.com/stats.php?id=60103,,,
Kozakura,Tenrai,,35k active personnel,0 ships,Finest of the 19th century,1 factory,Good,last online 5 hours ago,rankings.php?subregion=pac,,$526 million,,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,24275 km 2,http://blocgame.com/stats.php?id=48894,,375 Mbbl,
Doctorliasia,Lord Hillsworth,,6k active personnel,0 ships,Finest of the 19th century,1 factory,Elite,online now,rankings.php?subregion=pac,,$445 million,,Pacific Rim,Depleted,Meagre,http://blocgame.com/rankings.php?subregion=pac,26142 km 2,http://blocgame.com/stats.php?id=60284,,,
