country,leader,alliance,army_size,navy,equipment,factories,training,last_online,gdp,oil_reserves,region/_text,uranium,manpower,airforce,territory,pageUrl,
Duterte,Rodrigo Duterte,BAMF,133,2,Korean War surplus,8,Elite,1,4252,0,Indochina,0,Depleted,Large,41192,http://blocgame.com/stats.php?id=57937,
Waiwud Iwanem,Hasaki Enkou,Wreckage brothers,82,10,Almost Modern,5,Poor,177,4260,0,East Indies,0,Untapped,Very Powerful,22484,http://blocgame.com/stats.php?id=54484,
Utrokistan,Taslet,UoHN,70,14,Vietnam War surplus,3,Elite,132,4275,161,China,0,Untapped,Very Powerful,16010,http://blocgame.com/stats.php?id=53002,
BlvckJvcobin,BlvckJvcobin,Brotherhood of Nod,10,1,Vietnam War surplus,3,Elite,15,4084,0,Mesopotamia,0,Plentiful,Mediocre,16698,http://blocgame.com/stats.php?id=57136,
Lexico,payansnake,None,9,1,Korean War surplus,3,Standard,137,4311,0,Mesoamerica,0,Untapped,Somewhat Large,20328,http://blocgame.com/stats.php?id=56735,
Gillen,Gillen,Inter/pol/,97,0,Second World War surplus,3,Good,4,4203,2448,Arabia,0,0,Very Powerful,17760,http://blocgame.com/stats.php?id=54335,
woosha,blaatje,0,78,5,Almost Modern,11,Elite,15,4187,0,Egypt,0,Untapped,Very Powerful,70610,http://blocgame.com/stats.php?id=58158,
Aesarozija,Panoramic Meatballs,S.T.A.L.K.E.R.,61,7,Korean War surplus,4,Elite,5,4290,0,Mesopotamia,0,Near Depletion,Large,21500,http://blocgame.com/stats.php?id=57730,
Deklain,Otis,The High Council,150,5,Vietnam War surplus,7,Elite,4,4258,0,Pacific Rim,0,Untapped,Very Powerful,29832,http://blocgame.com/stats.php?id=57066,
CZUKAY Love,Zefiro,Kekolutionaries,83,6,Vietnam War surplus,3,Elite,8,4167,933,Persia,0,Near Depletion,Somewhat Large,5062,http://blocgame.com/stats.php?id=52807,
Skywalker,War Raven,BAMF,100,0,Second World War surplus,4,Good,14,4173,0,Amazonia,0,0,Powerful,23434,http://blocgame.com/stats.php?id=57844,
Lagoense,Marechal Fabra,Wreckage brothers,80,2,Second World War surplus,3,Elite,13,4181,0,Caribbean,0,Plentiful,Mediocre,18343,http://blocgame.com/stats.php?id=57361,
The Dome,Hardlined,BAMF,157,2,Korean War surplus,5,Good,1,4083,0,China,0,Untapped,Large,24808,http://blocgame.com/stats.php?id=56795,
Norrisonya,ChuckNorrison,Brotherhood of Nod,35,0,Korean War surplus,1,Good,41,4080,16,East Indies,0,Untapped,Somewhat Large,20000,http://blocgame.com/stats.php?id=56220,
Funktahulia,Sweet Baby Doc,The Federal Colonies,198,0,Persian Gulf War surplus,9,Good,10,4082,0,Caribbean,0,Untapped,Very Powerful,44526,http://blocgame.com/stats.php?id=47179,
Yare Yare,Spongythebk,S.T.A.L.K.E.R.,30,8,Korean War surplus,4,Elite,9,4136,0,Atlas,0,Untapped,Large,21000,http://blocgame.com/stats.php?id=58202,
Roman Empire,Trajan,Inter/pol/,80,1,Korean War surplus,4,Elite,8,4067,7914,Egypt,0,Near Depletion,Very Powerful,19036,http://blocgame.com/stats.php?id=57846,
Umbrella corp,Miss. Parks,The High Council,122,17,Almost Modern,5,Elite,1,3984,0,China,0,Untapped,Small,34378,http://blocgame.com/stats.php?id=54467,
Costa Del Sol,Wittenoom,Inter/pol/,14,0,Second World War surplus,3,Elite,3,4064,114,Pacific Rim,0,Untapped,Mediocre,25611,http://blocgame.com/stats.php?id=40097,
Jet Fuel,formerpresidentbush,Inter/pol/,98,11,Second World War surplus,4,Elite,1,3839,471,China,0,Near Depletion,Somewhat Large,31602,http://blocgame.com/stats.php?id=58259,
Hasting,President Austin,Inter/pol/,217,30,Persian Gulf War surplus,10,Good,6,3974,0,Arabia,0,Plentiful,Very Powerful,44882,http://blocgame.com/stats.php?id=53965,
