country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,uranium,oil_reserves,reactor
Dutch Indies,Tony Lovink,http://blocgame.com/alliancestats.php?allianceid=1595,92k active personnel,13 ships,Vietnam War surplus,3 factories,Good,last online 14 hours ago,rankings.php?subregion=ind,The High Council,$2189 million,alliancestats.php?allianceid=1595,East Indies,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=ind,41343 km 2,http://blocgame.com/stats.php?id=59424,,,
Snusers,Snuupy,http://blocgame.com/alliancestats.php?allianceid=1393,102k active personnel,8 ships,Vietnam War surplus,9 factories,Elite,online now,rankings.php?subregion=chi,BAMF,$2125 million,alliancestats.php?allianceid=1393,China,Plentiful,Very Powerful,http://blocgame.com/rankings.php?subregion=chi,70432 km 2,http://blocgame.com/stats.php?id=58336,,,
switzerdouch,yaboimtndew,,1k active personnel,0 ships,Second World War surplus,1 factory,Good,last online 40 hours ago,rankings.php?subregion=mex,,$2196 million,,Mesoamerica,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mex,20495 km 2,http://blocgame.com/stats.php?id=58997,,,
Masterton East,Natedogg,http://blocgame.com/alliancestats.php?allianceid=1644,38k active personnel,7 ships,Korean War surplus,3 factories,Elite,last online 9 hours ago,rankings.php?subregion=pac,Inter/pol/,$2147 million,alliancestats.php?allianceid=1644,Pacific Rim,Plentiful,Large,http://blocgame.com/rankings.php?subregion=pac,17152 km 2,http://blocgame.com/stats.php?id=58225,,,
gratagula,w2e2w2e2,http://blocgame.com/alliancestats.php?allianceid=1831,4k active personnel,3 ships,First World War surplus,2 factories,Good,last online 1 hours ago,rankings.php?subregion=chi,DEADFISH Reformed,$2140 million,alliancestats.php?allianceid=1831,China,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=chi,9110 km 2,http://blocgame.com/stats.php?id=58756,,,
Tunisia(tunis),RayanToumi,http://blocgame.com/alliancestats.php?allianceid=1599,12k active personnel,2 ships,Second World War surplus,3 factories,Standard,last online 6 hours ago,rankings.php?subregion=atl,Wreckage brothers,$2196 million,alliancestats.php?allianceid=1599,Atlas,,Mediocre,http://blocgame.com/rankings.php?subregion=atl,19800 km 2,http://blocgame.com/stats.php?id=59055,,7250 Mbbl,
Lenduland!,Lendu,http://blocgame.com/alliancestats.php?allianceid=1644,80k active personnel,7 ships,Korean War surplus,4 factories,Good,last online 7 hours ago,rankings.php?subregion=mes,Inter/pol/,$2180 million,alliancestats.php?allianceid=1644,Mesopotamia,,Large,http://blocgame.com/rankings.php?subregion=mes,28870 km 2,http://blocgame.com/stats.php?id=58704,,,
Freemates,Imperiah,,7k active personnel,2 ships,Second World War surplus,2 factories,Elite,last online 41 hours ago,rankings.php?subregion=per,,$2157 million,,Persia,Near Depletion,Large,http://blocgame.com/rankings.php?subregion=per,20916 km 2,http://blocgame.com/stats.php?id=59054,,2077 Mbbl,
FULLCOMMUNISM,ComradeBeans,http://blocgame.com/alliancestats.php?allianceid=1564,9k active personnel,0 ships,Korean War surplus,2 factories,Elite,last online 81 hours ago,rankings.php?subregion=chi,SPQR,$2158 million,alliancestats.php?allianceid=1564,China,,Large,http://blocgame.com/rankings.php?subregion=chi,4664 km 2,http://blocgame.com/stats.php?id=54390,,,
Lain,Red Terror,http://blocgame.com/alliancestats.php?allianceid=1393,144k active personnel,13 ships,Persian Gulf War surplus,6 factories,Undisciplined Rabble,last online 2 hours ago,rankings.php?subregion=egy,BAMF,$2038 million,alliancestats.php?allianceid=1393,Egypt,Depleted,Powerful,http://blocgame.com/rankings.php?subregion=egy,53126 km 2,http://blocgame.com/stats.php?id=54938,,,
New Pork Land,Porky Mitch,http://blocgame.com/alliancestats.php?allianceid=1595,101k active personnel,1 ships,Korean War surplus,3 factories,Elite,last online 13 hours ago,rankings.php?subregion=ind,The High Council,$2113 million,alliancestats.php?allianceid=1595,East Indies,Untapped,Somewhat Large,http://blocgame.com/rankings.php?subregion=ind,42073 km 2,http://blocgame.com/stats.php?id=59525,3 Tons,,
Mohammed IV,Marbles_001,http://blocgame.com/alliancestats.php?allianceid=1756,6k active personnel,1 ships,Second World War surplus,3 factories,Good,last online 183 hours ago,rankings.php?subregion=gui,The Golden Company,$2090 million,alliancestats.php?allianceid=1756,Guinea,Untapped,None,http://blocgame.com/rankings.php?subregion=gui,9509 km 2,http://blocgame.com/stats.php?id=58722,,,
Dogenation,dodgingdoge,http://blocgame.com/alliancestats.php?allianceid=1826,13k active personnel,4 ships,Second World War surplus,2 factories,Elite,last online 1 hours ago,rankings.php?subregion=per,THE REGGIES,$2138 million,alliancestats.php?allianceid=1826,Persia,Untapped,Small,http://blocgame.com/rankings.php?subregion=per,13592 km 2,http://blocgame.com/stats.php?id=59174,,4940 Mbbl,
Tankleninia,Ekir69,http://blocgame.com/alliancestats.php?allianceid=1642,4k active personnel,0 ships,First World War surplus,2 factories,Good,last online 163 hours ago,rankings.php?subregion=sea,leftybloc,$2071 million,alliancestats.php?allianceid=1642,Indochina,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=sea,23481 km 2,http://blocgame.com/stats.php?id=54104,,306 Mbbl,
N'vear,Czar Jakola,,7k active personnel,0 ships,Second World War surplus,2 factories,Elite,last online 70 hours ago,rankings.php?subregion=car,,$2129 million,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,11345 km 2,http://blocgame.com/stats.php?id=51690,,,
