country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl
newlind,coolcool12345,,20k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 19 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$412 million,253 Mbbl,Untapped,Small,,East Indies,Soviet Union,15694 km 2,http://blocgame.com/stats.php?id=61658
Netland,netcode,The Order,39k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 24 hours ago,6 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$398 million,,Untapped,Meagre,,Mesoamerica,United States,23665 km 2,http://blocgame.com/stats.php?id=63148
Berg,Snake10,,34k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 82 hours ago,2 Hundred Tons per month,1 Mbbl per month,Free Market,$410 million,1558 Mbbl,Untapped,None,,Mesopotamia,Neutral,16472 km 2,http://blocgame.com/stats.php?id=63914
Free Phoenix,Captain Mandrake,The High Council,23k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 3 hours ago,2 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$401 million,444 Mbbl; 2 Mbbl,Untapped,Small,,Caribbean,United States,24226 km 2,http://blocgame.com/stats.php?id=58198
Baghdad Iraqi,As-Shaheed Saddam Hussein,The High Council,50k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,online now,3 Hundred Tons per month,11 Mbbl per month,Central Planning,$393 million,2054 Mbbl; 11 Mbbl,Untapped,Mediocre,,Mesopotamia,Soviet Union,26091 km 2,http://blocgame.com/stats.php?id=61172
bukitbendera98,myms7375,The Order,25k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 6 hours ago,3 Hundred Tons per month,2 Mbbl per month,Free Market,$397 million,65 Mbbl; 2 Mbbl,,Small,,Arabia,United States,13608 km 2,http://blocgame.com/stats.php?id=62501
Guadianstan,Guadian Bakar,Followers of Guadian,23k active personnel,0 ships,First World War surplus,Good,1 factory,Elite,last online 2 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$433 million,318 Mbbl,,Meagre,,Gran Colombia,Soviet Union,18508 km 2,http://blocgame.com/stats.php?id=63250
Shell,Antonios,The Order,20k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 2 hours ago,9 Hundred Tons per month,10 Mbbl per month,Free Market,$401 million,5564 Mbbl,Untapped,Mediocre,,Atlas,United States,20497 km 2,http://blocgame.com/stats.php?id=63278
Reichsf�hrers,Supreme Larisa,The Order,25k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 107 hours ago,4 Hundred Tons per month,,Free Market,$400 million,229 Mbbl,Untapped,None,,China,Neutral,20000 km 2,http://blocgame.com/stats.php?id=63411
Torvan,Baron Obexi,,8k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Standard,last online 162 hours ago,2 Hundred Tons per month,,Free Market,$427 million,,Untapped,None,,West Africa,United States,16335 km 2,http://blocgame.com/stats.php?id=63893
Ummat Allah,Sanjay Binja,,9k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 140 hours ago,2 Hundred Tons per month,,Mixed Economy,$423 million,,Untapped,None,,Mesopotamia,Neutral,16500 km 2,http://blocgame.com/stats.php?id=63948
Ugandavitz,Charles Adibi,African Union,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 92 hours ago,3 Hundred Tons per month,,Central Planning,$400 million,138 Mbbl,Untapped,Meagre,,West Africa,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=51450
Russostan,Artyom Strugatsky,,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 135 hours ago,3 Hundred Tons per month,3 Mbbl per month,Central Planning,$419 million,3496 Mbbl; 3 Mbbl,Untapped,Meagre,,Mesopotamia,Soviet Union,16335 km 2,http://blocgame.com/stats.php?id=63078
SrpskaRepublika,Enoch Powell,The Order,39k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 13 hours ago,6 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$397 million,289 Mbbl,Untapped,Meagre,,Southern Africa,Neutral,20000 km 2,http://blocgame.com/stats.php?id=63541
awanghitam,awanghitam,The High Council,15k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 1 hours ago,18 Hundred Tons per month,2 Mbbl per month,Central Planning,$392 million,116 Mbbl; 2 Mbbl,Untapped,Meagre,,East Indies,Soviet Union,23155 km 2,http://blocgame.com/stats.php?id=60739
