country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Sahuarita,Zoonigga,,7k active personnel,0 ships,Finest of the 19th century,Nice,None,Poor,last online 64 hours ago,6 Hundred Tons per month,2 Mbbl per month,Central Planning,$610 million,238 Mbbl; 2 Mbbl,Untapped,None,Mesoamerica,Neutral,16500 km 2,http://blocgame.com/stats.php?id=64889,,
Coriloni,0sighnomore0,Interpol,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 19 hours ago,7 Hundred Tons per month,2 Mbbl per month,Central Planning,$609 million,10 Mbbl; 2 Mbbl,Untapped,Meagre,China,United States,10899 km 2,http://blocgame.com/stats.php?id=64892,,
Well Bad,nogoodnastynegro,The Order,79k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Good,last online 38 hours ago,7 Hundred Tons per month,3 Mbbl per month,Central Planning,$608 million,405 Mbbl; 3 Mbbl,Untapped,Somewhat Large,East Africa,Soviet Union,38541 km 2,http://blocgame.com/stats.php?id=65032,,
saifullover,enickmalam,PIRATES,23k active personnel,0 ships,First World War surplus,Isolated,2 factories,Standard,last online 4 hours ago,8 Hundred Tons per month,2 Mbbl per month,Free Market,$606 million,361 Mbbl; 2 Mbbl,Untapped,Meagre,Indochina,Neutral,38013 km 2,http://blocgame.com/stats.php?id=65346,,
Frostyputania,Frostyputa,The Order,61k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 26 hours ago,11 Hundred Tons per month,5 Mbbl per month,Central Planning,$605 million,206 Mbbl; 5 Mbbl,Untapped,Powerful,Gran Colombia,Neutral,30498 km 2,http://blocgame.com/stats.php?id=42065,,
pengkalan chepa,sultan pali,,5k active personnel,0 ships,First World War surplus,Normal,None,Undisciplined Rabble,last online 1 hours ago,2 Hundred Tons per month,,Mixed Economy,$604 million,50 Mbbl,Untapped,None,East Indies,Neutral,3075 km 2,http://blocgame.com/stats.php?id=60742,,
nerfprotoss,nerfprotoss,,2k active personnel,0 ships,Finest of the 19th century,Good,None,Undisciplined Rabble,last online 97 hours ago,2 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$604 million,2242 Mbbl; 2 Mbbl,Untapped,None,Atlas,Neutral,11045 km 2,http://blocgame.com/stats.php?id=64362,,
ARABOBIA,King Boobooboobsies,,4k active personnel,0 ships,Second World War surplus,Normal,None,Undisciplined Rabble,online now,4 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$603 million,131 Mbbl; 4 Mbbl,Untapped,None,Arabia,Neutral,3013 km 2,http://blocgame.com/stats.php?id=62683,,
Selle Isla,Selle,SPQR,81k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 5 hours ago,10 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$599 million,5178 Mbbl; 10 Mbbl,Untapped,Mediocre,Egypt,Soviet Union,30052 km 2,http://blocgame.com/stats.php?id=64991,,
Calimisfits,Kay0404,KEMS4495,16k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 129 hours ago,2 Hundred Tons per month,,Central Planning,$598 million,,Untapped,None,Southern Africa,Soviet Union,16010 km 2,http://blocgame.com/stats.php?id=65122,,
ID 309,cxcxxxxx,Brotherhood of Nod,79k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 10 hours ago,8 Hundred Tons per month,3 Mbbl per month,Central Planning,$597 million,3517 Mbbl; 3 Mbbl,Untapped,Mediocre,Persia,Soviet Union,29670 km 2,http://blocgame.com/stats.php?id=64985,,
Carthya,Eckbert,,4k active personnel,0 ships,Second World War surplus,Normal,None,Undisciplined Rabble,last online 92 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$591 million,1 Mbbl,Untapped,Meagre,Mesoamerica,Neutral,6396 km 2,http://blocgame.com/stats.php?id=63949,,
dendiface,dendiface,,2k active personnel,0 ships,Finest of the 19th century,Questionable,None,Undisciplined Rabble,last online 30 hours ago,2 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$590 million,2483 Mbbl; 2 Mbbl,Untapped,None,Atlas,Neutral,12950 km 2,http://blocgame.com/stats.php?id=64319,,
deathtotyrants,deathtotyrants,,2k active personnel,0 ships,Finest of the 19th century,Good,None,Undisciplined Rabble,last online 97 hours ago,2 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$590 million,1946 Mbbl; 2 Mbbl,Untapped,None,Atlas,Neutral,8855 km 2,http://blocgame.com/stats.php?id=64328,,
