country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,reactor,uranium
Derse Moon,Jack Noir,The Order,59k active personnel,20 ships,Almost Modern,Normal,9 factories,Good,last online 8 hours ago,50 Hundred Tons per month,50 Mbbl per month,Central Planning,$2074 million,25407 Mbbl; 50 Mbbl,Near Depletion,Very Powerful,Egypt,Soviet Union,101847 km 2,http://blocgame.com/stats.php?id=62965,,
ZAMENTA,ShAh FAr HAn,The Order,243k active personnel,6 ships,Korean War surplus,Gandhi-like,5 factories,Poor,last online 30 hours ago,20 Hundred Tons per month,10 Mbbl per month,Central Planning,$2072 million,306 Mbbl; 10 Mbbl,Untapped,Powerful,Pacific Rim,Soviet Union,45211 km 2,http://blocgame.com/stats.php?id=61998,,
Rebel Scum,Swipa,,5k active personnel,0 ships,Second World War surplus,Questionable,None,Good,last online 28 hours ago,2 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$2068 million,129 Mbbl; 2 Mbbl,Untapped,Mediocre,Arabia,Neutral,1660 km 2,http://blocgame.com/stats.php?id=63844,,
Nameck,Picko,Interpol,118k active personnel,11 ships,Vietnam War surplus,Gandhi-like,5 factories,Elite,last online 4 hours ago,18 Hundred Tons per month,12 Mbbl per month,Central Planning,$2064 million,9998 Mbbl; 12 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,44887 km 2,http://blocgame.com/stats.php?id=61968,,
Idaho,John Adams,The Order,59k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 10 hours ago,33 Hundred Tons per month,14 Mbbl per month,Central Planning,$2063 million,456 Mbbl; 14 Mbbl,Untapped,Large,Pacific Rim,Soviet Union,49498 km 2,http://blocgame.com/stats.php?id=63484,,
Sumchakastan,eddik0lol,The Khilafah,23k active personnel,0 ships,Korean War surplus,Gandhi-like,1 factory,Elite,last online 5 hours ago,5 Hundred Tons per month,5 Mbbl per month,Central Planning,$2059 million,979 Mbbl; 5 Mbbl,Near Depletion,Somewhat Large,Arabia,Neutral,4710 km 2,http://blocgame.com/stats.php?id=41444,,
Empyrea,Sir_Scarf,The Order,51k active personnel,3 ships,Korean War surplus,Gandhi-like,2 factories,Standard,last online 1 hours ago,18 Hundred Tons per month,3 Mbbl per month,Central Planning,$2059 million,3 Mbbl,Untapped,Very Powerful,Pacific Rim,Soviet Union,32156 km 2,http://blocgame.com/stats.php?id=49411,,
Invasion Nation,Chinese Republican,SPQR,16k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 1 hours ago,8 Hundred Tons per month,6 Mbbl per month,Central Planning,$2052 million,6 Mbbl,Depleted,Somewhat Large,China,United States,13549 km 2,http://blocgame.com/stats.php?id=64541,,
Inferia,Alexkovisk,Pact of Red October,9k active personnel,0 ships,Second World War surplus,Gandhi-like,None,Standard,last online 5 hours ago,4 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$2051 million,57 Mbbl; 3 Mbbl,Untapped,Small,Mesoamerica,Neutral,7204 km 2,http://blocgame.com/stats.php?id=60789,,
Zuyazayuza,Zuyazayuza,The Order,184k active personnel,13 ships,Almost Modern,Gandhi-like,5 factories,Standard,last online 1 hours ago,47 Hundred Tons per month,8 Mbbl per month,Mixed Economy,$2043 million,191 Mbbl,Untapped,Very Powerful,Caribbean,United States,68682 km 2,http://blocgame.com/stats.php?id=62470,,
