country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,region/_source,alliance/_text,rm_prod,oil_prod,gdp,alliance/_source,oil_reserves,region/_text,manpower,airforce,region,territory,pageUrl,uranium
Clisca,gerardred,,30k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 64 hours ago,rankings.php?subregion=pac,,2 Hundred Tons per month,1 Mbbl per month,$266 million,,1 Mbbl,Pacific Rim,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=62895,
Bellocus,Slimy_Mexican_Turtle,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 167 hours ago,rankings.php?subregion=con,,2 Hundred Tons per month,,$266 million,,,Southern Cone,Untapped,None,http://blocgame.com/rankings.php?subregion=con,20000 km 2,http://blocgame.com/stats.php?id=62914,
Pcmc warfare,Tokngulu,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 158 hours ago,rankings.php?subregion=ind,,2 Hundred Tons per month,,$266 million,,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,20000 km 2,http://blocgame.com/stats.php?id=62924,
K R,jesse5,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 151 hours ago,rankings.php?subregion=chi,,2 Hundred Tons per month,,$266 million,,,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=62941,
Plentiful,Hwassssa,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 168 hours ago,rankings.php?subregion=pac,,2 Hundred Tons per month,,$266 million,,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=62947,
De Lul,DT17,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 167 hours ago,rankings.php?subregion=sea,,2 Hundred Tons per month,,$266 million,,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=62951,
Melonia,MelonLord1955,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 166 hours ago,rankings.php?subregion=sea,,2 Hundred Tons per month,,$266 million,,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,20000 km 2,http://blocgame.com/stats.php?id=62956,
Narcoestado,Se�orSting,,6k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 1 hours ago,rankings.php?subregion=car,,5 Hundred Tons per month,1 Mbbl per month,$266 million,,,Caribbean,Untapped,None,http://blocgame.com/rankings.php?subregion=car,16500 km 2,http://blocgame.com/stats.php?id=63377,
Black Pearl,Jacks Sparrows,,18k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 9 hours ago,rankings.php?subregion=con,,5 Hundred Tons per month,1 Mbbl per month,$266 million,,270 Mbbl,Southern Cone,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=con,20000 km 2,http://blocgame.com/stats.php?id=63631,
ghghghghdsfg,anomalous299,,9k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 9 hours ago,rankings.php?subregion=ara,,3 Hundred Tons per month,3 Mbbl per month,$266 million,,3 Mbbl,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,16667 km 2,http://blocgame.com/stats.php?id=63944,
Lempo danea,Heri kiswanto,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 112 hours ago,rankings.php?subregion=sea,,2 Hundred Tons per month,,$265 million,,,Indochina,Untapped,None,http://blocgame.com/rankings.php?subregion=sea,16335 km 2,http://blocgame.com/stats.php?id=61893,
Romarctul,darth_jar_jar_binks,http://blocgame.com/alliancestats.php?allianceid=2064,24k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 126 hours ago,rankings.php?subregion=mes,SPQR,2 Hundred Tons per month,4 Mbbl per month,$265 million,alliancestats.php?allianceid=2064,3618 Mbbl; 4 Mbbl,Mesopotamia,Untapped,None,http://blocgame.com/rankings.php?subregion=mes,20000 km 2,http://blocgame.com/stats.php?id=63038,
Sir Lee Jones,Mikoto Misaka,,20k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Poor,last online 120 hours ago,rankings.php?subregion=pac,,2 Hundred Tons per month,,$265 million,,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,20000 km 2,http://blocgame.com/stats.php?id=63402,
Durptown,kfbr,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 120 hours ago,rankings.php?subregion=con,,2 Hundred Tons per month,,$265 million,,,Southern Cone,Untapped,None,http://blocgame.com/rankings.php?subregion=con,20000 km 2,http://blocgame.com/stats.php?id=63420,
ghey,Dumbcomputer,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 151 hours ago,rankings.php?subregion=chi,,2 Hundred Tons per month,1 Mbbl per month,$264 million,,242 Mbbl; 1 Mbbl,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=40475,
Valpara�so,Alex_1210,,7k active personnel,0 ships,Finest of the 19th century,Good,None,Poor,last online 131 hours ago,rankings.php?subregion=con,,3 Hundred Tons per month,1 Mbbl per month,$264 million,,128 Mbbl; 1 Mbbl,Southern Cone,Untapped,None,http://blocgame.com/rankings.php?subregion=con,16335 km 2,http://blocgame.com/stats.php?id=46598,
Somewheresburg,I.M. Clueless,,25k active personnel,0 ships,First World War surplus,Angelic,None,Good,last online 93 hours ago,rankings.php?subregion=per,,4 Hundred Tons per month,2 Mbbl per month,$264 million,,1000 Mbbl; 2 Mbbl,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,19800 km 2,http://blocgame.com/stats.php?id=52880,
Ishtar,Magnus Magnus,http://blocgame.com/alliancestats.php?allianceid=2049,14k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 9 hours ago,rankings.php?subregion=mes,Brotherhood of Nod,4 Hundred Tons per month,3 Mbbl per month,$264 million,alliancestats.php?allianceid=2049,4204 Mbbl,Mesopotamia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mes,19406 km 2,http://blocgame.com/stats.php?id=55882,
Freshwell,Serious,http://blocgame.com/alliancestats.php?allianceid=2042,23k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 119 hours ago,rankings.php?subregion=atl,Interpol,6 Hundred Tons per month,9 Mbbl per month,$264 million,alliancestats.php?allianceid=2042,4520 Mbbl,Atlas,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=atl,19212 km 2,http://blocgame.com/stats.php?id=58341,
Socialand,Free Party,,9k active personnel,0 ships,Finest of the 19th century,Normal,None,Standard,last online 12 hours ago,rankings.php?subregion=gra,,3 Hundred Tons per month,3 Mbbl per month,$264 million,,291 Mbbl; 3 Mbbl,Gran Colombia,Untapped,None,http://blocgame.com/rankings.php?subregion=gra,16500 km 2,http://blocgame.com/stats.php?id=58655,
Minjoistan,Slavonny Chevok,,20k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 13 hours ago,rankings.php?subregion=chi,,3 Hundred Tons per month,2 Mbbl per month,$264 million,,2 Mbbl,China,Untapped,None,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=59450,
DARFA,Warf,,20k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 8 hours ago,rankings.php?subregion=atl,,3 Hundred Tons per month,3 Mbbl per month,$264 million,,3 Mbbl,Atlas,Untapped,Small,http://blocgame.com/rankings.php?subregion=atl,19604 km 2,http://blocgame.com/stats.php?id=62213,
King\\\'s,crafox,,25k active personnel,0 ships,First World War surplus,Gandhi-like,None,Elite,last online 91 hours ago,rankings.php?subregion=car,,4 Hundred Tons per month,1 Mbbl per month,$264 million,,296 Mbbl; 1 Mbbl,Caribbean,Untapped,Small,http://blocgame.com/rankings.php?subregion=car,20000 km 2,http://blocgame.com/stats.php?id=62408,
Greater Venice,Dandolo,http://blocgame.com/alliancestats.php?allianceid=2045,24k active personnel,0 ships,Finest of the 19th century,Angelic,1 factory,Poor,last online 83 hours ago,rankings.php?subregion=ind,The Order,3 Hundred Tons per month,2 Mbbl per month,$264 million,alliancestats.php?allianceid=2045,106 Mbbl; 2 Mbbl,East Indies,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=ind,20594 km 2,http://blocgame.com/stats.php?id=63185,
RollingRock,Jonzy,http://blocgame.com/alliancestats.php?allianceid=2045,35k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 2 hours ago,rankings.php?subregion=saf,The Order,4 Hundred Tons per month,4 Mbbl per month,$263 million,alliancestats.php?allianceid=2045,194 Mbbl; 4 Mbbl,Southern Africa,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=saf,20000 km 2,http://blocgame.com/stats.php?id=62175,
Domesticus,CorruptedNerd669,http://blocgame.com/alliancestats.php?allianceid=2068,29k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 3 hours ago,rankings.php?subregion=mes,The Delian League,3 Hundred Tons per month,3 Mbbl per month,$263 million,alliancestats.php?allianceid=2068,1575 Mbbl; 3 Mbbl,Mesopotamia,Untapped,Mediocre,http://blocgame.com/rankings.php?subregion=mes,20000 km 2,http://blocgame.com/stats.php?id=63114,
iiq37615,iiq37615,,7k active personnel,0 ships,Finest of the 19th century,Nice,None,Standard,last online 84 hours ago,rankings.php?subregion=ara,,2 Hundred Tons per month,,$263 million,,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,13640 km 2,http://blocgame.com/stats.php?id=63718,
