country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Crimea,Hayro Khan,The Order,58k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Good,last online 16 hours ago,17 Hundred Tons per month,11 Mbbl per month,Central Planning,$2321 million,3397 Mbbl; 11 Mbbl,,Large,Atlas,Soviet Union,31017 km 2,http://blocgame.com/stats.php?id=2570,,
Sintra,Daniel Lima,The Order,85k active personnel,6 ships,First World War surplus,Gandhi-like,2 factories,Standard,last online 9 hours ago,23 Hundred Tons per month,12 Mbbl per month,Central Planning,$2302 million,30 Mbbl; 12 Mbbl,Untapped,Somewhat Large,Caribbean,Soviet Union,35838 km 2,http://blocgame.com/stats.php?id=63167,,
The NLR,Darknight,The Order,78k active personnel,7 ships,Korean War surplus,Normal,3 factories,Standard,last online 3 hours ago,65 Hundred Tons per month,5 Mbbl per month,Central Planning,$2300 million,116 Mbbl; 5 Mbbl,Untapped,Very Powerful,Congo,Soviet Union,56545 km 2,http://blocgame.com/stats.php?id=49701,,
Russophia,Mikhail Putin,,3k active personnel,0 ships,Korean War surplus,Gandhi-like,None,Elite,last online 6 hours ago,3 Hundred Tons per month,8 Mbbl per month,Central Planning,$2261 million,1273 Mbbl; 8 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,4471 km 2,http://blocgame.com/stats.php?id=54426,,
Lombardy,Aistulf,The Order,64k active personnel,1 ships,Korean War surplus,Gandhi-like,4 factories,Standard,last online 4 hours ago,20 Hundred Tons per month,18 Mbbl per month,Free Market,$2261 million,7847 Mbbl,Plentiful,Large,Persia,United States,51308 km 2,http://blocgame.com/stats.php?id=63882,,
Southern Africa,TheMaster_ZA,The Order,78k active personnel,0 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 9 hours ago,34 Hundred Tons per month,5 Mbbl per month,Central Planning,$2251 million,150 Mbbl,Untapped,Powerful,Southern Africa,Soviet Union,49553 km 2,http://blocgame.com/stats.php?id=48410,,
Sepidajistan,Shah Squid,Steel Brotherhood,35k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 7 hours ago,6 Hundred Tons per month,2 Mbbl per month,Central Planning,$2245 million,3675 Mbbl; 2 Mbbl,,Powerful,Atlas,Soviet Union,13917 km 2,http://blocgame.com/stats.php?id=59462,,
Lubekran,septima,Interpol,37k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 5 hours ago,14 Hundred Tons per month,5 Mbbl per month,Central Planning,$2244 million,456 Mbbl; 5 Mbbl,Untapped,Large,Indochina,Soviet Union,8017 km 2,http://blocgame.com/stats.php?id=62568,,
Conrad,Waled,SPQR,80k active personnel,3 ships,Second World War surplus,Gandhi-like,2 factories,Good,online now,20 Hundred Tons per month,16 Mbbl per month,Central Planning,$2234 million,4416 Mbbl; 16 Mbbl,,Large,Egypt,Soviet Union,17722 km 2,http://blocgame.com/stats.php?id=62640,,5%
constania,Comrade,The Divine Council,95k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 63 hours ago,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$2233 million,7 Mbbl,Untapped,Powerful,Congo,Soviet Union,17509 km 2,http://blocgame.com/stats.php?id=62606,,
