country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Krelmia,Krelm,,6k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 26 hours ago,4 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$517 million,36 Mbbl,Untapped,None,Caribbean,Soviet Union,11061 km 2,http://blocgame.com/stats.php?id=63947,,
Soviet Kekbodia,Wojak Stalin,,6k active personnel,0 ships,First World War surplus,Questionable,None,Good,last online 49 hours ago,3 Hundred Tons per month,,Mixed Economy,$516 million,,Untapped,Meagre,Pacific Rim,Neutral,9455 km 2,http://blocgame.com/stats.php?id=63380,,
GhostNation,GhostMan,,8k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 162 hours ago,4 Hundred Tons per month,2 Mbbl per month,Mixed Economy,$516 million,292 Mbbl; 2 Mbbl,Plentiful,Meagre,Amazonia,Soviet Union,13477 km 2,http://blocgame.com/stats.php?id=63589,,
Titiwangsa,Orga,PIRATES,69k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 1 hours ago,5 Hundred Tons per month,3 Mbbl per month,Free Market,$515 million,65 Mbbl; 3 Mbbl,Near Depletion,Mediocre,East Indies,United States,15835 km 2,http://blocgame.com/stats.php?id=61596,,
Lewd Place,Cute Girl,Lithuanian Coalition,38k active personnel,0 ships,First World War surplus,Gandhi-like,2 factories,Good,last online 12 hours ago,21 Hundred Tons per month,8 Mbbl per month,Free Market,$515 million,756 Mbbl,Untapped,Mediocre,Caribbean,Soviet Union,31497 km 2,http://blocgame.com/stats.php?id=61620,,
oliverhard,oliver hardwick,The High Council,31k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 7 hours ago,21 Hundred Tons per month,11 Mbbl per month,Central Planning,$514 million,3253 Mbbl; 11 Mbbl,Untapped,Meagre,Persia,Soviet Union,29317 km 2,http://blocgame.com/stats.php?id=53822,,
new aussie land,benj,The Order,39k active personnel,0 ships,First World War surplus,Gandhi-like,None,Poor,last online 44 hours ago,3 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$513 million,289 Mbbl; 1 Mbbl,Untapped,None,Caribbean,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=52750,,
Bolshevikistan,S.D.Plessken,Comintern,35k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 15 hours ago,15 Hundred Tons per month,4 Mbbl per month,Central Planning,$513 million,6 Mbbl; 4 Mbbl,Untapped,Small,Congo,Soviet Union,20000 km 2,http://blocgame.com/stats.php?id=60189,,
Ceylon,Durruti,,9k active personnel,0 ships,First World War surplus,Gandhi-like,None,Standard,last online 1 hours ago,3 Hundred Tons per month,,Central Planning,$513 million,,Untapped,None,The Subcontinent,Soviet Union,16335 km 2,http://blocgame.com/stats.php?id=63194,,
Bosnistan,JosipBrozDidNothingWrong,,6k active personnel,0 ships,First World War surplus,Good,None,Undisciplined Rabble,last online 62 hours ago,8 Hundred Tons per month,8 Mbbl per month,Mixed Economy,$513 million,1417 Mbbl; 8 Mbbl,Untapped,None,Arabia,Neutral,4981 km 2,http://blocgame.com/stats.php?id=63423,,
Ipoh,QiffahsyII,SPQR,53k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,last online 4 hours ago,7 Hundred Tons per month,10 Mbbl per month,Central Planning,$512 million,799 Mbbl; 10 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,27219 km 2,http://blocgame.com/stats.php?id=62127,,
Skhrimm,Ept24I5,,7k active personnel,0 ships,First World War surplus,Nice,None,Undisciplined Rabble,last online 125 hours ago,2 Hundred Tons per month,,Mixed Economy,$511 million,,Untapped,None,China,Neutral,9266 km 2,http://blocgame.com/stats.php?id=54756,,
kailam,kailam,The High Council,55k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,6 Hundred Tons per month,3 Mbbl per month,Central Planning,$511 million,387 Mbbl; 3 Mbbl,Untapped,Somewhat Large,East Indies,Soviet Union,28237 km 2,http://blocgame.com/stats.php?id=61608,,
Djengling,DjangoLeBurr,,7k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Undisciplined Rabble,last online 6 hours ago,9 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$510 million,33 Mbbl,Plentiful,Meagre,Gran Colombia,Soviet Union,16361 km 2,http://blocgame.com/stats.php?id=63724,,
Bongo Kongo,BOB-100000110,,8k active personnel,0 ships,First World War surplus,Gandhi-like,None,Good,last online 152 hours ago,6 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$509 million,47 Mbbl; 1 Mbbl,Untapped,None,Indochina,Neutral,16335 km 2,http://blocgame.com/stats.php?id=63994,,
awanghitam,awanghitam,The High Council,51k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 4 hours ago,22 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$507 million,49 Mbbl; 3 Mbbl,,Large,East Indies,Soviet Union,19007 km 2,http://blocgame.com/stats.php?id=60739,,
mzymz,mzymz79,The Order,53k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 1 hours ago,23 Hundred Tons per month,5 Mbbl per month,Central Planning,$507 million,312 Mbbl,Untapped,Large,Caribbean,Soviet Union,30173 km 2,http://blocgame.com/stats.php?id=62580,,
Tok Jembal,Lady H,The Order,52k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 12 hours ago,11 Hundred Tons per month,12 Mbbl per month,Mixed Economy,$506 million,1966 Mbbl; 12 Mbbl,Untapped,Mediocre,Arabia,Neutral,26627 km 2,http://blocgame.com/stats.php?id=60840,,
blanco,finalsolution,The Order,74k active personnel,1 ships,First World War surplus,Gandhi-like,2 factories,Elite,last online 14 hours ago,10 Hundred Tons per month,7 Mbbl per month,Central Planning,$506 million,4920 Mbbl,Untapped,Mediocre,Arabia,Soviet Union,35071 km 2,http://blocgame.com/stats.php?id=63245,,
MumbosMountain,Mumbo Jumbo,The United Nations,59k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Poor,online now,16 Hundred Tons per month,3 Mbbl per month,Free Market,$503 million,212 Mbbl,Plentiful,Mediocre,Mesoamerica,United States,30399 km 2,http://blocgame.com/stats.php?id=54444,,
DARFA,Warf,The Khilafah,8k active personnel,0 ships,Second World War surplus,Angelic,None,Elite,last online 56 hours ago,3 Hundred Tons per month,4 Mbbl per month,Central Planning,$503 million,2518 Mbbl; 4 Mbbl,,Somewhat Large,Atlas,Soviet Union,14276 km 2,http://blocgame.com/stats.php?id=62213,,
Sector 6,porkcannon,The Order,48k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Elite,last online 5 hours ago,8 Hundred Tons per month,4 Mbbl per month,Central Planning,$503 million,549 Mbbl; 4 Mbbl,Untapped,Powerful,Pacific Rim,Neutral,27328 km 2,http://blocgame.com/stats.php?id=63362,,
Thiepia,RulerKing,,4k active personnel,0 ships,First World War surplus,Angelic,None,Undisciplined Rabble,last online 11 hours ago,2 Hundred Tons per month,,Mixed Economy,$502 million,,Untapped,None,Indochina,Neutral,10700 km 2,http://blocgame.com/stats.php?id=63846,,
Nuevo Norte,President Martinez,,10k active personnel,0 ships,Finest of the 19th century,Nice,None,Good,last online 83 hours ago,6 Hundred Tons per month,1 Mbbl per month,Mixed Economy,$501 million,141 Mbbl; 1 Mbbl,Untapped,None,Mesoamerica,United States,18934 km 2,http://blocgame.com/stats.php?id=64172,,
Magna Bonom,Krull,Brotherhood of Nod,54k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,online now,16 Hundred Tons per month,13 Mbbl per month,Central Planning,$500 million,4641 Mbbl; 13 Mbbl,Untapped,Very Powerful,Egypt,Soviet Union,27200 km 2,http://blocgame.com/stats.php?id=59435,,
