country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Mangkok,MangkukHayun,The Divine Council,94k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 1 hours ago,21 Hundred Tons per month,15 Mbbl per month,Free Market,$1297 million,220 Mbbl,Plentiful,Somewhat Large,East Indies,Neutral,49043 km 2,http://blocgame.com/stats.php?id=62210,,
Kuto,AKMB,The Federal Colonies,58k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Undisciplined Rabble,last online 5 hours ago,15 Hundred Tons per month,15 Mbbl per month,Central Planning,$1296 million,4542 Mbbl; 15 Mbbl,Untapped,Very Powerful,Persia,Soviet Union,29887 km 2,http://blocgame.com/stats.php?id=40095,,
Egoria,Evil_sethoss,Steel Brotherhood,7k active personnel,0 ships,First World War surplus,Questionable,None,Undisciplined Rabble,last online 15 hours ago,4 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$1295 million,333 Mbbl; 3 Mbbl,Untapped,Small,Mesoamerica,Neutral,7346 km 2,http://blocgame.com/stats.php?id=54726,,
VDV,TheLivingForce,,7k active personnel,0 ships,Finest of the 19th century,Gandhi-like,None,Undisciplined Rabble,last online 173 hours ago,7 Hundred Tons per month,4 Mbbl per month,Central Planning,$1288 million,1039 Mbbl; 4 Mbbl,Untapped,Mediocre,Arabia,Neutral,4085 km 2,http://blocgame.com/stats.php?id=46664,,
Afrikizonia,MacSlothur,Steel Brotherhood,86k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Standard,online now,21 Hundred Tons per month,5 Mbbl per month,Free Market,$1285 million,,Plentiful,Somewhat Large,East Africa,United States,25065 km 2,http://blocgame.com/stats.php?id=63138,,
Laurence,Frezzerbloom,Brotherhood of Nod,63k active personnel,0 ships,Korean War surplus,Gandhi-like,2 factories,Elite,last online 10 hours ago,15 Hundred Tons per month,10 Mbbl per month,Central Planning,$1283 million,2836 Mbbl; 10 Mbbl,Untapped,Very Powerful,Arabia,Soviet Union,23990 km 2,http://blocgame.com/stats.php?id=49637,1 Tons,
raja_png,DiDi27,PIRATES,6k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 90 hours ago,4 Hundred Tons per month,4 Mbbl per month,Mixed Economy,$1283 million,133 Mbbl; 4 Mbbl,,None,Pacific Rim,Neutral,3338 km 2,http://blocgame.com/stats.php?id=62000,,
Robots,stormbot28,Interpol,80k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 6 hours ago,8 Hundred Tons per month,,Free Market,$1277 million,45 Mbbl,Untapped,Mediocre,Caribbean,United States,16887 km 2,http://blocgame.com/stats.php?id=40242,,
Amazonian Union,Hugo Chavez,Steel Brotherhood,35k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Standard,last online 3 hours ago,5 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$1274 million,182 Mbbl,Untapped,Large,Amazonia,United States,16791 km 2,http://blocgame.com/stats.php?id=59377,,
Alanies,Alany,The Order,55k active personnel,0 ships,Korean War surplus,Gandhi-like,3 factories,Elite,last online 6 hours ago,12 Hundred Tons per month,9 Mbbl per month,Central Planning,$1271 million,2355 Mbbl; 9 Mbbl,Untapped,Large,Mesopotamia,Soviet Union,32003 km 2,http://blocgame.com/stats.php?id=54617,,
Malaysia.,Tuanku Adam Zhafri,PIRATES,10k active personnel,4 ships,Second World War surplus,Nice,3 factories,Elite,last online 74 hours ago,10 Hundred Tons per month,9 Mbbl per month,Mixed Economy,$1271 million,9 Mbbl,Plentiful,None,East Indies,Neutral,13643 km 2,http://blocgame.com/stats.php?id=63032,,
Wankmuffin,tempcunt,,19k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,12 Hundred Tons per month,5 Mbbl per month,Mixed Economy,$1269 million,517 Mbbl; 5 Mbbl,,Small,Mesoamerica,Neutral,8527 km 2,http://blocgame.com/stats.php?id=63325,,
