country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,uranium,region,alignment,territory,pageUrl,reactor
Ferma,President Jacobo Vincenzo,The Order,67k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 2 hours ago,25 Hundred Tons per month,,Free Market,$2282 million,178 Mbbl,Untapped,Large,,Southern Cone,United States,27656 km 2,http://blocgame.com/stats.php?id=58784,
Psilocybis,Lysergix,Brotherhood of Nod,38k active personnel,4 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 3 hours ago,12 Hundred Tons per month,8 Mbbl per month,Central Planning,$2272 million,5031 Mbbl; 8 Mbbl,Untapped,Large,,Persia,Soviet Union,19602 km 2,http://blocgame.com/stats.php?id=62795,
SettingMoon,Hawk,The Order,36k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 5 hours ago,14 Hundred Tons per month,5 Mbbl per month,Central Planning,$2270 million,417 Mbbl; 5 Mbbl,Untapped,Very Powerful,,East Indies,Soviet Union,17707 km 2,http://blocgame.com/stats.php?id=62839,
Khuzestan,Georgy Zhukov,The Federal Colonies,79k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 1 hours ago,19 Hundred Tons per month,10 Mbbl per month,Central Planning,$2251 million,2931 Mbbl; 10 Mbbl,Untapped,Very Powerful,2 Tons,Persia,Soviet Union,42240 km 2,http://blocgame.com/stats.php?id=48914,
Johor,Helmi Omar,PIRATES,11k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 7 hours ago,9 Hundred Tons per month,5 Mbbl per month,Central Planning,$2251 million,85 Mbbl; 5 Mbbl,,Somewhat Large,,Pacific Rim,Neutral,15280 km 2,http://blocgame.com/stats.php?id=60442,
Cyleia,Silas Adar,,7k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Poor,last online 62 hours ago,11 Hundred Tons per month,6 Mbbl per month,Free Market,$1869 million,89 Mbbl; 6 Mbbl,Untapped,Mediocre,,Mesoamerica,United States,10616 km 2,http://blocgame.com/stats.php?id=62784,
Neechanville,Overlord-kun,Steel Brotherhood,92k active personnel,2 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,19 Hundred Tons per month,5 Mbbl per month,Central Planning,$2240 million,386 Mbbl; 5 Mbbl,Untapped,Somewhat Large,,Gran Colombia,Soviet Union,27420 km 2,http://blocgame.com/stats.php?id=63023,
New Luzon,Chester E. Marquez,The Order,78k active personnel,3 ships,Second World War surplus,Angelic,3 factories,Elite,online now,8 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$2227 million,4842 Mbbl,Untapped,Somewhat Large,,Egypt,Neutral,36192 km 2,http://blocgame.com/stats.php?id=63066,
Thair,Tacoonastick,The Order,20k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 10 hours ago,7 Hundred Tons per month,5 Mbbl per month,Central Planning,$2224 million,360 Mbbl; 5 Mbbl,,Large,,Congo,Soviet Union,10465 km 2,http://blocgame.com/stats.php?id=60955,
Puerto Libre,Jose Ramon Rodriguez III,The Federal Colonies,44k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 3 hours ago,19 Hundred Tons per month,13 Mbbl per month,Free Market,$2222 million,23 Mbbl,Untapped,Very Powerful,1 Tons,Caribbean,United States,20000 km 2,http://blocgame.com/stats.php?id=61883,
kweensnkans,Jamal T.Ice cube,,44k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Elite,last online 10 hours ago,7 Hundred Tons per month,4 Mbbl per month,Free Market,$2217 million,2975 Mbbl,,Somewhat Large,,Egypt,United States,16820 km 2,http://blocgame.com/stats.php?id=63345,
constania,Comrade,The Divine Council,87k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 88 hours ago,16 Hundred Tons per month,7 Mbbl per month,Central Planning,$2215 million,7 Mbbl,Untapped,Powerful,,Congo,Soviet Union,17509 km 2,http://blocgame.com/stats.php?id=62606,
Cubania,General Fidelis,The Order,79k active personnel,4 ships,Korean War surplus,Angelic,3 factories,Good,last online 2 hours ago,48 Hundred Tons per month,13 Mbbl per month,Central Planning,$2214 million,13 Mbbl; 13 Mbbl,Untapped,Large,,Mesoamerica,Soviet Union,56421 km 2,http://blocgame.com/stats.php?id=47349,
Treehouse,Number One,The Divine Council,39k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,6 Hundred Tons per month,3 Mbbl per month,Free Market,$2214 million,326 Mbbl; 3 Mbbl,Untapped,Very Powerful,,Indochina,United States,18308 km 2,http://blocgame.com/stats.php?id=58889,
Texastan,Rebel Lord,Interpol,102k active personnel,5 ships,Second World War surplus,Gandhi-like,5 factories,Elite,online now,24 Hundred Tons per month,23 Mbbl per month,Central Planning,$2190 million,6380 Mbbl; 23 Mbbl,Plentiful,Very Powerful,,Mesopotamia,Soviet Union,51939 km 2,http://blocgame.com/stats.php?id=58149,
Jebawka,Shetay,The Order,99k active personnel,0 ships,Korean War surplus,Gandhi-like,3 factories,Standard,last online 30 hours ago,18 Hundred Tons per month,10 Mbbl per month,Free Market,$2177 million,3117 Mbbl,Untapped,Very Powerful,,Arabia,United States,29809 km 2,http://blocgame.com/stats.php?id=54304,
TerapBuduLipis,SyedRazi,The Divine Council,78k active personnel,4 ships,Second World War surplus,Gandhi-like,3 factories,Elite,online now,20 Hundred Tons per month,7 Mbbl per month,Central Planning,$2157 million,139 Mbbl; 7 Mbbl,Untapped,Powerful,1 Tons,Indochina,Soviet Union,51655 km 2,http://blocgame.com/stats.php?id=60513,
Deklain,Otis,The Divine Council,48k active personnel,2 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 12 hours ago,23 Hundred Tons per month,6 Mbbl per month,Central Planning,$2145 million,6 Mbbl,Untapped,Powerful,,Pacific Rim,Soviet Union,33853 km 2,http://blocgame.com/stats.php?id=57066,
Slavostan,Joe Tito-Hoxha,Interpol,81k active personnel,0 ships,Korean War surplus,Gandhi-like,1 factory,Elite,last online 9 hours ago,9 Hundred Tons per month,2 Mbbl per month,Central Planning,$2144 million,85 Mbbl; 2 Mbbl,Untapped,Mediocre,1 Tons,Indochina,Soviet Union,16172 km 2,http://blocgame.com/stats.php?id=48188,
Lothl�rien,Galadriel,,159k active personnel,17 ships,Korean War surplus,Gandhi-like,11 factories,Elite,last online 3 hours ago,41 Hundred Tons per month,41 Mbbl per month,Free Market,$2138 million,11618 Mbbl; 41 Mbbl,,Very Powerful,,Atlas,United States,41177 km 2,http://blocgame.com/stats.php?id=64165,
Manturia-Korea,Maosecond,,82k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 9 hours ago,23 Hundred Tons per month,10 Mbbl per month,Free Market,$2136 million,179 Mbbl,Untapped,Somewhat Large,,China,United States,22792 km 2,http://blocgame.com/stats.php?id=64188,
Drelinka,Catheline lebran,SPQR,20k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 7 hours ago,4 Hundred Tons per month,9 Mbbl per month,Mixed Economy,$2135 million,1245 Mbbl,Untapped,Small,,Persia,Soviet Union,6003 km 2,http://blocgame.com/stats.php?id=61556,
