country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil_reserves,uranium,reactor,reputation,rm_prod,oil_prod
Maymayistan,Mememan III,,27k active personnel,0 ships,First World War surplus,None,Elite,last online 33 hours ago,rankings.php?subregion=ara,,$308 million,,Arabia,Untapped,None,http://blocgame.com/rankings.php?subregion=ara,20000 km 2,http://blocgame.com/stats.php?id=63683,4327 Mbbl,,,Normal,2 Hundred Tons per month,
kurwaziksikstan,aapo1,http://blocgame.com/alliancestats.php?allianceid=2058,25k active personnel,0 ships,First World War surplus,None,Elite,last online 33 hours ago,rankings.php?subregion=per,Al-Qassam Brigades,$308 million,alliancestats.php?allianceid=2058,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,20000 km 2,http://blocgame.com/stats.php?id=63689,1501 Mbbl; 1 Mbbl,,,Normal,2 Hundred Tons per month,1 Mbbl per month
Rhodies,BigDoc,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 32 hours ago,rankings.php?subregion=eaf,,$308 million,,East Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=eaf,20000 km 2,http://blocgame.com/stats.php?id=63706,1 Mbbl,,,Normal,3 Hundred Tons per month,1 Mbbl per month
Glo Gang,savagesam12,,25k active personnel,0 ships,First World War surplus,None,Elite,last online 31 hours ago,rankings.php?subregion=waf,,$308 million,,West Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=waf,20000 km 2,http://blocgame.com/stats.php?id=63707,,,,Normal,2 Hundred Tons per month,
Germanic Africa,Dirk Aust,,20k active personnel,0 ships,Finest of the 19th century,None,Standard,last online 31 hours ago,rankings.php?subregion=eaf,,$308 million,,East Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=eaf,20000 km 2,http://blocgame.com/stats.php?id=63720,,,,Normal,2 Hundred Tons per month,
Frozen,Queen Elsa,,25k active personnel,0 ships,First World War surplus,None,Elite,online now,rankings.php?subregion=saf,,$308 million,,Southern Africa,Untapped,None,http://blocgame.com/rankings.php?subregion=saf,20000 km 2,http://blocgame.com/stats.php?id=63726,,,,Normal,3 Hundred Tons per month,
the murloc,grant,http://blocgame.com/alliancestats.php?allianceid=2086,18k active personnel,0 ships,First World War surplus,None,Standard,online now,rankings.php?subregion=gra,Followers of Guadian,$310 million,alliancestats.php?allianceid=2086,Gran Colombia,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=gra,20000 km 2,http://blocgame.com/stats.php?id=63727,1 Mbbl,,,Good,4 Hundred Tons per month,1 Mbbl per month
Panzer,Pak43,http://blocgame.com/alliancestats.php?allianceid=2045,11k active personnel,0 ships,Finest of the 19th century,None,Elite,last online 1 hours ago,rankings.php?subregion=chi,The Order,$308 million,alliancestats.php?allianceid=2045,China,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=chi,20000 km 2,http://blocgame.com/stats.php?id=63748,1 Mbbl,,,Questionable,3 Hundred Tons per month,1 Mbbl per month
Mzab,Cuma Thurman,http://blocgame.com/alliancestats.php?allianceid=2056,31k active personnel,0 ships,First World War surplus,None,Elite,last online 1 hours ago,rankings.php?subregion=atl,Farmington Brigade,$308 million,alliancestats.php?allianceid=2056,Atlas,Untapped,Meagre,http://blocgame.com/rankings.php?subregion=atl,20166 km 2,http://blocgame.com/stats.php?id=63775,4223 Mbbl; 3 Mbbl,,,Isolated,4 Hundred Tons per month,3 Mbbl per month
Groryland,Grorious Reader,,30k active personnel,0 ships,Finest of the 19th century,None,Undisciplined Rabble,last online 34 hours ago,rankings.php?subregion=sub,,$307 million,,The Subcontinent,Untapped,None,http://blocgame.com/rankings.php?subregion=sub,20000 km 2,http://blocgame.com/stats.php?id=332,1 Mbbl,,,Normal,3 Hundred Tons per month,1 Mbbl per month
